Country_Region,Country_Region_Safe,Province_State,Province_State_Safe,County_Name,County_Name_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20
Afghanistan,Afghanistan,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.725,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088,2.175,3.263,4.713,5.801,6.889,7.614,9.064,12.327,17.403,21.392,23.567,23.93,24.655,25.38,31.906,37.707,55.836,71.789,91.368,104.421,113.848,123.274,145.029,168.233,210.654,247.999,286.794,309.274,336.829,368.01,412.969,447.414,489.835,525.367,565.612,610.208,662.419,720.068,784.243,847.693,917.307,971.33,1027.891,1071.4,1129.049,1194.312,1286.042,1379.948,1484.007,1575.375,1703.0
Afghanistan,Afghanistan,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.74,1.11,1.481,2.591,3.701,4.442,4.442,4.442,4.442,4.442,5.182,5.922,7.032,7.403,9.253,11.844,14.435,15.916,16.286,17.766,18.877,21.097,22.948,25.539,28.87,31.461,33.312,34.422,36.643,38.864,41.455,43.675,46.266,48.857,51.818,57.0
Albania,Albania,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677,4.063,8.125,15.235,23.021,31.823,38.256,44.35,50.105,55.86,60.261,65.339,71.095,79.558,91.069,106.981,126.278,149.976,171.305,188.57,201.435,213.961,229.534,245.446,263.728,284.379,309.431,337.869,362.583,379.511,392.714,403.547,414.719,425.891,438.418,455.684,469.902,486.153,503.419,525.086,543.367,558.263,573.498,594.149,618.524,645.27,668.629,695.036,716.364,736.0
Albania,Albania,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337,0.675,1.012,1.012,1.012,1.012,1.012,1.349,1.687,2.024,2.024,2.024,2.699,3.711,4.723,5.398,6.41,8.096,9.446,10.458,12.145,13.831,15.518,16.193,17.88,19.229,20.578,21.253,21.928,22.602,22.94,23.277,23.277,23.277,23.614,24.289,25.301,25.976,26.313,26.313,26.313,26.313,26.651,26.988,27.325,27.325,27.663,28.0
Algeria,Algeria,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.693,1.039,1.039,1.039,1.039,1.732,3.117,6.927,10.044,14.2,15.931,18.356,19.395,20.434,20.78,22.165,24.243,30.131,38.443,48.14,56.106,65.11,76.539,86.929,109.441,148.923,197.409,240.701,275.68,323.128,373.346,425.988,475.86,536.468,627.207,743.574,882.8,1040.381,1180.299,1295.974,1383.249,1458.403,1545.679,1629.838,1731.313,1818.935,1904.825,1981.711,2066.562,2151.76,2250.464,2370.988,2500.516,2625.542,2729.441,2825.375,2922.695,3022.784,3132.225,3252.056,3381.931,3517.0
Algeria,Algeria,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339,1.016,2.031,3.047,3.724,4.063,5.078,6.771,9.141,11.85,14.558,16.589,17.944,19.298,22.006,24.376,27.085,29.116,32.163,37.241,46.382,63.649,84.301,108.677,131.022,154.044,175.373,193.317,214.307,235.636,259.335,278.972,298.27,315.536,330.094,341.944,354.809,365.304,374.445,381.216,389.68,398.821,406.608,414.395,420.15,426.245,432.0
Andorra,Andorra,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.67,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.339,14.063,26.787,43.863,55.918,72.324,92.415,111.835,137.283,162.395,192.865,227.353,267.534,304.365,338.854,361.622,380.373,399.794,420.888,446.336,470.779,499.575,526.027,547.121,566.542,585.292,597.681,616.097,631.165,650.585,662.305,671.345,683.734,694.114,707.507,714.539,718.892,722.24,724.249,728.937,733.959,738.982,743.0
Andorra,Andorra,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,1.0,1.667,2.333,3.0,4.0,5.667,8.667,11.333,13.667,15.0,16.0,17.0,18.667,20.333,22.0,23.333,24.667,25.667,27.0,28.0,29.667,31.0,32.333,33.667,34.333,35.333,36.0,36.667,37.0,37.0,38.0,39.0,40.0,40.0
Angola,Angola,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,1.038,1.731,2.423,2.769,3.115,3.462,3.808,4.5,5.538,6.577,7.269,7.615,7.962,8.308,9.0,11.077,13.846,16.269,18.0,19.038,19.731,19.731,19.731,19.731,19.731,19.731,19.731,19.731,21.462,23.192,24.923,24.923,25.269,25.615,25.962,25.962,26.308,27.0
Angola,Angola,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,1.333,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Antigua and Barbuda,Antigua_and_Barbuda,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.667,2.333,3.0,4.333,5.667,7.0,7.0,7.0,7.0,7.0,7.667,10.333,13.0,15.0,15.0,16.333,17.667,19.0,19.0,19.667,20.333,21.667,22.333,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.333,23.667,24.0,24.0,24.0,24.0
Antigua and Barbuda,Antigua_and_Barbuda,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,1.667,2.0,2.0,2.0,2.0,2.0,2.0,2.333,2.667,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Argentina,Argentina,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.686,1.029,1.371,3.772,7.543,10.972,14.058,16.458,18.858,23.658,28.801,37.716,46.287,57.945,69.602,83.66,104.232,131.319,189.264,248.58,327.097,368.585,437.501,506.761,610.65,693.968,773.17,897.975,1003.922,1111.24,1183.585,1319.704,1428.737,1527.826,1588.514,1679.031,1761.663,1880.639,1969.785,2088.76,2168.649,2272.195,2375.399,2499.861,2634.265,2742.269,2834.158,2927.419,3021.022,3125.597,3294.975,3492.467,3710.532,3867.224,4003.0
Argentina,Argentina,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.686,1.03,1.03,1.03,1.373,1.716,2.059,2.059,2.059,2.059,2.402,2.746,3.432,3.775,4.118,4.805,6.178,7.894,10.296,13.728,17.16,20.592,23.681,26.77,31.232,35.35,40.498,43.244,46.333,50.794,57.315,65.552,74.476,81.34,87.517,92.666,99.186,106.394,112.571,119.779,125.956,131.791,136.253,142.43,149.294,159.247,169.2,180.526,189.793,197.0
Armenia,Armenia,,,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.691,1.037,1.037,1.037,1.037,1.037,1.037,1.037,1.037,1.037,2.074,4.493,10.369,17.973,33.181,53.919,73.965,95.74,115.787,142.055,169.36,203.577,234.338,258.878,277.888,305.539,354.618,400.933,453.815,497.019,547.826,610.386,680.895,749.675,804.631,838.157,866.845,887.237,917.652,946.686,976.41,1008.208,1043.462,1078.026,1111.898,1153.373,1199.688,1247.04,1292.663,1340.36,1393.242,1456.147,1519.743,1587.141,1657.65,1734.726,1808.0
Armenia,Armenia,,,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341,0.682,1.024,1.706,2.388,3.071,3.412,4.776,6.141,7.165,7.165,7.506,7.847,8.529,9.212,10.576,11.941,12.965,13.647,14.671,16.035,17.4,18.424,19.447,20.129,21.153,22.518,23.882,24.565,25.588,26.953,28.318,29.0
Australia,Australia,Australian Capital Territory,Australian_Capital_Territory,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,1.333,1.667,2.333,3.0,4.333,6.333,11.333,20.0,30.0,36.667,43.667,51.333,62.0,70.0,75.333,78.333,80.667,83.667,87.333,90.333,93.333,95.0,96.0,97.0,98.333,100.667,102.0,103.0,102.667,102.667,102.667,103.0,103.0,103.0,103.0,103.333,103.667,104.0,104.0,104.333,105.0,105.667,106.0
Australia,Australia,Australian Capital Territory,Australian_Capital_Territory,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,1.0,1.0,1.333,1.667,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.333,2.667,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Australia,Australia,New South Wales,New_South_Wales,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,1.001,2.336,3.672,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.673,5.34,8.344,13.685,19.025,23.364,25.367,30.708,38.051,47.063,56.075,61.749,74.099,89.786,112.817,139.185,171.896,216.288,261.682,309.412,365.82,486.648,592.122,719.625,839.785,1023.363,1219.29,1415.552,1606.472,1815.751,1954.269,2084.776,2173.561,2292.72,2396.524,2490.65,2573.427,2637.846,2689.248,2734.641,2780.035,2821.09,2849.127,2862.812,2867.151,2876.831,2888.179,2906.871,2923.56,2943.586,2955.936,2966.951,2971.624,2975.963,2980.302,2987.979,2996.657,3004.0
Australia,Australia,New South Wales,New_South_Wales,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337,0.673,1.01,1.01,1.347,1.683,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.693,3.703,4.713,5.386,5.723,6.059,6.059,6.396,6.733,7.069,7.069,7.406,7.743,8.079,8.079,8.416,9.089,10.436,11.446,13.465,15.485,18.515,20.198,21.208,21.545,22.218,23.228,24.238,24.911,25.248,25.248,25.584,25.921,26.257,26.257,26.257,26.257,27.941,30.297,32.653,33.663,34.0
Australia,Australia,Northern Territory,Northern_Territory,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,0.667,0.333,0.0,0.0,0.333,0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.667,2.333,3.667,4.333,5.333,5.667,8.0,10.0,13.0,14.0,15.0,15.667,17.0,19.0,20.667,23.0,25.0,27.0,27.667,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Australia,Australia,Northern Territory,Northern_Territory,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Australia,Queensland,Queensland,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.334,1.338,2.006,2.675,2.341,2.341,2.341,2.675,3.344,4.013,4.682,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,5.016,6.354,7.691,9.029,9.698,10.367,11.704,12.373,13.042,13.711,14.38,16.052,17.724,19.396,25.081,33.776,47.487,58.522,69.223,80.259,105.674,141.122,183.592,222.05,267.196,326.052,387.584,445.772,498.609,559.472,613.981,658.792,698.253,740.055,788.879,832.353,872.148,896.225,912.277,923.647,935.686,946.387,956.754,967.121,977.153,984.51,992.536,997.887,1002.568,1005.578,1010.929,1016.948,1020.961,1023.971,1025.643,1027.984,1028.653,1029.321,1030.659,1033.0
Australia,Australia,Queensland,Queensland,,,Deaths,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,1.333,1.667,2.0,2.0,2.667,3.333,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.333,4.667,5.0,5.0,5.0,5.0,5.0,5.333,5.667,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Australia,Australia,South Australia,South_Australia,,,Confirmed,jhu,2020-04-28 18:21:56.488494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,1.667,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.333,2.667,3.0,3.0,3.667,4.333,5.667,6.333,7.0,7.0,7.0,7.667,8.333,11.333,14.667,18.333,22.667,26.0,31.667,36.0,43.0,53.0,72.333,100.333,134.667,158.0,191.667,220.667,259.667,281.0,297.0,313.667,336.333,357.0,376.667,390.0,403.333,408.333,409.667,412.333,415.333,421.0,425.667,428.667,429.0,430.333,431.667,433.0,433.667,434.333,435.0,435.0,435.667,436.667,437.667,438.0,438.0,438.0,438.0
