Country_Region,Country_Region_Safe,Province_State,Province_State_Safe,County_Name,County_Name_Safe,Case_Type,Source,Last_Update_Date,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20
Afghanistan,Afghanistan,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.301,0.451,0.601,0.752,0.902,1.052,1.203,1.353,1.353,1.353,1.353,1.353,1.804,2.255,2.856,3.758,4.66,5.562,7.066,9.321,12.328,15.034,17.74,20.295,22.851,25.407,30.368,34.728,43.447,52.918,63.742,76.972,90.202,104.634,126.583,146.728,176.344,206.261,235.877,266.696,302.626,341.262,386.814,428.006,474.61,517.306,559.7,608.71,663.733,718.605,781.295,843.985,913.441,980.941,1052.351,1123.159,1196.072,1272.894,1357.833,1443.074,1536.733,1630.693,1746.452,1871.531,2008.788,2171.0
Afghanistan,Afghanistan,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.278,0.416,0.694,1.249,1.805,2.36,2.915,3.471,3.887,4.304,4.998,5.553,5.97,6.386,7.358,8.746,10.134,11.662,13.189,14.855,16.521,18.464,20.685,22.629,24.85,27.072,29.154,31.653,34.152,36.651,39.289,41.926,44.425,46.785,49.562,53.31,56.781,60.113,64.0
Albania,Albania,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.441,2.882,5.643,9.605,14.168,19.211,25.334,31.938,38.782,45.266,52.23,58.593,65.317,73.242,82.967,94.374,108.662,123.911,139.88,156.929,174.579,193.07,211.68,230.171,249.142,268.233,289.245,310.857,331.389,352.641,372.572,391.423,410.153,427.203,443.292,456.98,471.028,487.237,503.927,520.616,538.146,556.277,575.848,595.899,618.472,640.565,663.858,686.311,708.884,731.456,753.309,773.0
Albania,Albania,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.243,0.365,0.486,0.608,0.729,0.851,1.094,1.337,1.459,1.58,1.702,2.067,2.553,3.039,3.647,4.376,5.349,6.322,7.416,8.996,10.333,11.671,13.129,14.831,16.29,17.627,19.086,20.424,21.396,22.369,23.22,23.949,24.314,24.8,25.286,25.773,26.259,26.624,26.988,27.353,27.718,28.204,28.569,28.812,28.933,29.176,29.42,29.906,30.392,31.0
Algeria,Algeria,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.261,0.391,0.522,0.652,0.783,1.174,1.827,3.392,4.828,6.915,9.003,11.352,13.831,16.31,18.528,21.007,22.834,26.096,30.141,34.969,40.318,47.364,56.106,65.24,80.245,103.079,128.262,156.446,188.805,228.862,272.573,320.459,375.391,433.455,500.652,581.158,675.365,788.752,904.097,1022.964,1149.399,1274.269,1403.183,1527.139,1646.398,1755.871,1852.817,1948.329,2046.189,2142.353,2246.737,2357.123,2470.38,2583.636,2700.155,2817.196,2938.151,3060.411,3186.585,3315.499,3441.282,3569.544,3702.634,3850.076,4006.0
Algeria,Algeria,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.352,0.705,1.175,1.644,2.114,2.937,3.994,5.286,6.93,8.692,10.337,12.099,14.096,16.562,18.794,21.143,23.493,25.842,29.013,33.829,41.699,51.566,63.9,78.7,95.615,114.644,134.612,157.048,180.305,202.506,224.589,246.085,266.523,285.67,303.876,322.553,338.058,352.036,364.839,376.468,386.922,396.437,405.717,414.056,421.222,428.857,436.139,443.187,450.0
Andorra,Andorra,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.225,0.337,0.45,0.562,0.675,0.787,0.899,1.012,1.012,1.012,1.012,1.012,1.012,1.124,5.396,9.668,15.514,23.833,33.613,46.204,61.043,79.368,100.278,121.075,146.707,175.373,204.49,236.192,265.758,294.65,324.329,352.546,379.751,406.057,430.452,454.172,475.982,499.252,522.973,542.421,564.793,585.028,602.79,619.428,633.818,648.657,662.26,674.851,687.891,696.772,705.429,712.623,719.144,726.451,731.172,735.557,738.929,741.852,745.0
Andorra,Andorra,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.234,0.351,0.468,0.819,1.17,1.521,2.223,3.159,4.446,5.967,7.604,9.359,10.997,12.752,14.858,16.73,18.485,20.006,21.409,22.696,24.217,25.621,27.142,28.546,29.833,31.237,32.407,33.577,34.864,35.799,36.735,37.437,38.256,39.075,39.66,40.245,40.83,41.415,42.0
Angola,Angola,,,,,Confirmed,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.346,0.577,0.923,1.269,1.615,2.077,2.538,3.115,3.808,4.385,4.962,5.538,6.115,6.692,7.385,8.538,9.808,10.962,12.346,13.731,15.0,16.269,17.538,18.577,19.154,19.5,19.731,19.731,20.308,20.885,21.462,22.038,22.731,23.423,24.115,24.808,25.615,25.962,26.308,26.654,27.0
Angola,Angola,,,,,Deaths,jhu,2020-05-01 20:05:53.168875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.444,0.667,0.889,1.111,1.333,1.556,1.778,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
