TAB:  China_non_Hubei Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  China_non_Hubei Confirmed 1/23/2020     1      201    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed .             2      376    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed 1/25/2020     3      654    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed .             4     1034    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed 1/27/2020     5     1481    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed .             6     1990    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed 1/29/2020     7     2581    16063     8066        1     8066     8066     8066
TAB:  China_non_Hubei Confirmed .             8     3296    16063    10372        1    10372    10558    10558
TAB:  China_non_Hubei Confirmed 1/31/2020     9     4064    16063    11939        1    11939    14713    12533
TAB:  China_non_Hubei Confirmed .            10     4814    16063    12470        1    12470    17086    14512
TAB:  China_non_Hubei Confirmed 2/2/2020     11     5538    16063    12514        2    12514    14276    13835
TAB:  China_non_Hubei Confirmed .            12     6289    16063    12728        2    11882    13716    13010
TAB:  China_non_Hubei Confirmed 2/4/2020     13     7130    16063    14415        2    13532    14977    14495
TAB:  China_non_Hubei Confirmed .            14     7888    16063    15261        3    13960    16762    15161
TAB:  China_non_Hubei Confirmed 2/6/2020     15     8603    16063    15399        3    14423    16376    15399
TAB:  China_non_Hubei Confirmed .            16     9299    16063    15577        3    14648    16759    15577
TAB:  China_non_Hubei Confirmed 2/8/2020     17     9867    16063    15311        5    13815    15625    14838
TAB:  China_non_Hubei Confirmed .            18    10362    16063    14864        5    13292    14864    14415
TAB:  China_non_Hubei Confirmed 2/10/2020    19    10798    16063    14423        3    13028    14569    13982
TAB:  China_non_Hubei Confirmed .            20    11200    16063    13273        4    13273    14281    13993
TAB:  China_non_Hubei Confirmed 2/12/2020    21    11576    16063    13569        3    13569    14139    13854
TAB:  China_non_Hubei Confirmed .            22    11877    16063    14139        6    13569    14139    13854
TAB:  China_non_Hubei Confirmed 2/14/2020    23    12145    16063    13716        6    13716    13998    13857
TAB:  China_non_Hubei Confirmed .            24    12360    16063    13719        8    13579    13859    13719
TAB:  China_non_Hubei Confirmed 2/16/2020    25    12529    16063    13579        7    13300    13859    13579
TAB:  China_non_Hubei Confirmed .            26    12645    16063    13444        5    13168    13721    13444
TAB:  China_non_Hubei Confirmed 2/18/2020    27    12729    16063    13584        5    13036    13584    13310
TAB:  China_non_Hubei Confirmed .            28    12789    16063    13042        5    13042    13449    13313
TAB:  China_non_Hubei Confirmed 2/20/2020    29    12837    16063    13042        8    13042    13449    13313
TAB:  China_non_Hubei Confirmed .            30    12888    16063    13047       10    13047    13315    13181
TAB:  China_non_Hubei Confirmed 2/22/2020    31    12917    16063    13050       12    13050    13183    13183
TAB:  China_non_Hubei Confirmed .            32    12938    16063    13050       15    13050    13183    13183
TAB:  China_non_Hubei Confirmed 2/24/2020    33    12954    16063    13052       18    13052    13052    13052
TAB:  China_non_Hubei Confirmed .            34    12968    16063    13052       20    13052    13052    13052
TAB:  China_non_Hubei Confirmed 2/26/2020    35    12979    16063    13052       23    13052    13052    13052
TAB:  China_non_Hubei Confirmed .            36    13004    16063    12759       17    12759    13352    13352
TAB:  China_non_Hubei Confirmed 2/28/2020    37    13014    16063    13352       21    12759    13946    13352
TAB:  China_non_Hubei Confirmed .            38    13019    16063    13183       25    13183    13183    13183
TAB:  China_non_Hubei Confirmed 3/1/2020     39    13025    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed .            40    13033    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed 3/3/2020     41    13044    16063    13352       21    13352    13352    13352
TAB:  China_non_Hubei Confirmed .            42    13054    16063    13352       19    13352    13352    13352
TAB:  China_non_Hubei Confirmed 3/5/2020     43    13071    16063    13352       19    13352    13352    13352
TAB:  China_non_Hubei Confirmed .            44    13098    16063    13352       17    13352    37684    13946
TAB:  China_non_Hubei Confirmed 3/7/2020     45    13104    16063    13352       18    13352    14539    14539
TAB:  China_non_Hubei Confirmed .            46    13116    16063    13352       20    13352    14539    14539
TAB:  China_non_Hubei Confirmed 3/9/2020     47    13117    16063    13352       26    13352    19287    13946
TAB:  China_non_Hubei Confirmed .            48    13127    16063    13352       28    13352    22254    14539
TAB:  China_non_Hubei Confirmed 3/11/2020    49    13148    16063    13352       16    13352    15726    13946
TAB:  China_non_Hubei Confirmed .            50    13151    16063    13352       11    13352    16319    14539
TAB:  China_non_Hubei Confirmed 3/13/2020    51    13159    16063    13352       13    13352    16319    14539
TAB:  China_non_Hubei Confirmed .            52    13187    16063    13352        5    13352    18100    14539
TAB:  China_non_Hubei Confirmed 3/15/2020    53    13209    16063    13352        4    13352    21660    14539
TAB:  China_non_Hubei Confirmed .            54    13235    16063    13352        3    13352    22254    13946
TAB:  China_non_Hubei Confirmed 3/17/2020    55    13259    16063    13352        2    13352    15132    13946
TAB:  China_non_Hubei Confirmed .            56    13302    16063    13946        2    13352    14539    13946
TAB:  China_non_Hubei Confirmed 3/19/2020    57    13356    16063    13946        2    13946    15132    15132
TAB:  China_non_Hubei Confirmed .            58    13450    16063    14539        1    14539    16913    16913
TAB:  China_non_Hubei Confirmed 3/21/2020    59    13505    16063    15726        1    15726    15726    15726
TAB:  China_non_Hubei Confirmed .            60    13635    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed 3/23/2020    61    13698    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed .            62    13790    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed 3/25/2020    63    13860    16063    15132        1    15132    16319    16319
TAB:  China_non_Hubei Confirmed .            64    13981    16063    21067        1    21067    21067    21067
TAB:  China_non_Hubei Confirmed 3/27/2020    65    14096    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed .            66    14198    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed 3/29/2020    67    14321    16063        0        0        0        0        0
TAB:  China_non_Hubei Confirmed .            68    14397    16063    15726        1    15726    44805    44805
TAB:  China_non_Hubei Confirmed 3/31/2020    69    14478    16063    15132        1    15132    25815    16913
TAB:  China_non_Hubei Confirmed .            70    14559    16063    15132        2    15132    56674    17506
TAB:  China_non_Hubei Confirmed 4/2/2020     71    14630    16063    15132        3    15132    34123    19287
TAB:  China_non_Hubei Confirmed .            72    14709    16063    15726        5    15726    27001    18100
TAB:  China_non_Hubei Confirmed 4/4/2020     73    14740    16063    15132        4    15132    23441    16913
TAB:  China_non_Hubei Confirmed .            74    14799    16063    15132        7    15132    23441    16913
TAB:  China_non_Hubei Confirmed 4/6/2020     75    14862    16063    15726       11    15726    25815    17506
TAB:  China_non_Hubei Confirmed .            76    14915    16063    15726       12    15726    29969    18100
TAB:  China_non_Hubei Confirmed 4/8/2020     77    15006    16063    16319        6    15726    60235    18693
TAB:  China_non_Hubei Confirmed .            78    15080    16063    16319        8    16319    28782    18100
TAB:  China_non_Hubei Confirmed 4/10/2020    79    15138    16063    16319        8    16319    48366    19287
