TAB:  Korea_South Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Korea_South Confirmed 1/23/2020     1        1    11902        0        0        0        0        0
TAB:  Korea_South Confirmed .             2        2    11902        0        0        0        0        0
TAB:  Korea_South Confirmed 1/25/2020     3        2    11902        0        0        0        0        0
TAB:  Korea_South Confirmed .             4        3    11902        0        0        0        0        0
TAB:  Korea_South Confirmed 1/27/2020     5        4    11902        0        0        0        0        0
TAB:  Korea_South Confirmed .             6        4    11902        0        0        0        0        0
TAB:  Korea_South Confirmed 1/29/2020     7        4    11902        0        0        0        0        0
TAB:  Korea_South Confirmed .             8        4    11902        0        0        0        0        0
TAB:  Korea_South Confirmed 1/31/2020     9       11    11902        0        0        0        0        0
TAB:  Korea_South Confirmed .            10       12    11902        0        0        0        0        0
TAB:  Korea_South Confirmed 2/2/2020     11       15    11902      219        2      219      219      219
TAB:  Korea_South Confirmed .            12       15    11902      219        3      219      219      219
TAB:  Korea_South Confirmed 2/4/2020     13       16    11902      219        4      219      219      219
TAB:  Korea_South Confirmed .            14       19    11902      219        6      219      659      659
TAB:  Korea_South Confirmed 2/6/2020     15       23    11902      219        8      219      219      219
TAB:  Korea_South Confirmed .            16       24    11902      219        8      219      219      219
TAB:  Korea_South Confirmed 2/8/2020     17       24    11902      219       10      219     3297     3297
TAB:  Korea_South Confirmed .            18       25    11902        0        0        0        0        0
TAB:  Korea_South Confirmed 2/10/2020    19       27    11902        0        0        0        0        0
TAB:  Korea_South Confirmed .            20       28    11902      219       14      219      219      219
TAB:  Korea_South Confirmed 2/12/2020    21       28    11902      219       15      219      219      219
TAB:  Korea_South Confirmed .            22       28    11902      219       16      219      219      219
TAB:  Korea_South Confirmed 2/14/2020    23       28    11902        0        0        0        0        0
TAB:  Korea_South Confirmed .            24       28    11902        0        0        0        0        0
TAB:  Korea_South Confirmed 2/16/2020    25       29    11902        0        0        0        0        0
TAB:  Korea_South Confirmed .            26       30    11902      219       18      219      219      219
TAB:  Korea_South Confirmed 2/18/2020    27       31    11902      219       18      219      219      219
TAB:  Korea_South Confirmed .            28       31    11902      219       19      219      219      219
