TAB:  Korea_South Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Korea_South Deaths    1/23/2020     1        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    .             2        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    1/25/2020     3        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    .             4        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    1/27/2020     5        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    .             6        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    1/29/2020     7        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    .             8        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    1/31/2020     9        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    .            10        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    2/2/2020     11        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    .            12        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    2/4/2020     13        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    .            14        0      276        0        0      219      659      659
TAB:  Korea_South Deaths    2/6/2020     15        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    .            16        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    2/8/2020     17        0      276        0        0      219     3297     3297
TAB:  Korea_South Deaths    .            18        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    2/10/2020    19        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    .            20        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    2/12/2020    21        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    .            22        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    2/14/2020    23        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    .            24        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    2/16/2020    25        0      276        0        0        0        0        0
TAB:  Korea_South Deaths    .            26        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    2/18/2020    27        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    .            28        0      276        0        0      219      219      219
TAB:  Korea_South Deaths    2/20/2020    29        1      276        0        0     4177    69255    17368
TAB:  Korea_South Deaths    .            30        2      276        0        0        0        0        0
TAB:  Korea_South Deaths    2/22/2020    31        2      276        0        0        0        0        0
TAB:  Korea_South Deaths    .            32        6      276        0        0    11652    11652    11652
TAB:  Korea_South Deaths    2/24/2020    33        8      276        0        0     1539    36276     3737
TAB:  Korea_South Deaths    .            34       10      276        0        0     1539    35837     4177
TAB:  Korea_South Deaths    2/26/2020    35       12      276       14        1       14       14       14
TAB:  Korea_South Deaths    .            36       13      276       14        1       14       15       15
TAB:  Korea_South Deaths    2/28/2020    37       13      276        0        0        0        0        0
TAB:  Korea_South Deaths    .            38       16      276        0        0    11652    54305    24844
TAB:  Korea_South Deaths    3/1/2020     39       17      276       19        1       19       29       25
TAB:  Korea_South Deaths    .            40       28      276        0        0     8134    85525    17368
TAB:  Korea_South Deaths    3/3/2020     41       28      276        0        0    11212    65298    20446
TAB:  Korea_South Deaths    .            42       35      276        0        0        0        0        0
TAB:  Korea_South Deaths    3/5/2020     43       35      276       45        1       45       56       56
TAB:  Korea_South Deaths    .            44       42      276       56        2       56      117       66
TAB:  Korea_South Deaths    3/7/2020     45       44      276       56        2       56      168       76
TAB:  Korea_South Deaths    .            46       50      276       96        3       66     1208      137
TAB:  Korea_South Deaths    3/9/2020     47       53      276       70        1       70      407      105
TAB:  Korea_South Deaths    .            48       54      276       67        2       57      170       90
TAB:  Korea_South Deaths    3/11/2020    49       60      276       78        1       78      143       99
TAB:  Korea_South Deaths    .            50       66      276       96        3       96      239      158
TAB:  Korea_South Deaths    3/13/2020    51       66      276       96        4       96      341      117
TAB:  Korea_South Deaths    .            52       72      276      107        5      107      290      147
TAB:  Korea_South Deaths    3/15/2020    53       75      276      105        3       92      190      124
TAB:  Korea_South Deaths    .            54       75      276      101        2       82      121      108
TAB:  Korea_South Deaths    3/17/2020    55       81      276      105        4      105      133      122
