TAB:  Japan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Japan Confirmed 1/23/2020     1        2    17111        0        0        0        0        0
TAB:  Japan Confirmed .             2        2    17111        0        0        0        0        0
TAB:  Japan Confirmed 1/25/2020     3        2    17111        0        0        0        0        0
TAB:  Japan Confirmed .             4        4    17111        0        0        0        0        0
TAB:  Japan Confirmed 1/27/2020     5        4    17111        0        0        0        0        0
TAB:  Japan Confirmed .             6        7    17111        0        0        0        0        0
TAB:  Japan Confirmed 1/29/2020     7        7    17111      316        1      316      316      316
TAB:  Japan Confirmed .             8       11    17111      316        1      316     2844     2844
TAB:  Japan Confirmed 1/31/2020     9       15    17111      316        1      316      316      316
TAB:  Japan Confirmed .            10       20    17111      948        1      948     1580     1580
TAB:  Japan Confirmed 2/2/2020     11       20    17111      316        3      316     1580     1580
TAB:  Japan Confirmed .            12       20    17111      310        6      310      310      310
TAB:  Japan Confirmed 2/4/2020     13       22    17111        0        0        0        0        0
TAB:  Japan Confirmed .            14       22    17111        0        0        0        0        0
TAB:  Japan Confirmed 2/6/2020     15       22    17111        0        0        0        0        0
TAB:  Japan Confirmed .            16       25    17111      316        9      316      316      316
TAB:  Japan Confirmed 2/8/2020     17       25    17111      316        9      316      316      316
TAB:  Japan Confirmed .            18       26    17111      316       11      316      316      316
TAB:  Japan Confirmed 2/10/2020    19       26    17111      316       13      316      316      316
TAB:  Japan Confirmed .            20       26    17111        0        0        0        0        0
TAB:  Japan Confirmed 2/12/2020    21       28    17111        0        0        0        0        0
TAB:  Japan Confirmed .            22       28    17111      316       15      316      316      316
TAB:  Japan Confirmed 2/14/2020    23       29    17111      316       16      316      316      316
TAB:  Japan Confirmed .            24       43    17111      316        8      316      316      316
TAB:  Japan Confirmed 2/16/2020    25       59    17111      316        5      316     2212      948
TAB:  Japan Confirmed .            26       66    17111      316        4      316    10430      948
TAB:  Japan Confirmed 2/18/2020    27       74    17111      316        5      316     1580      948
TAB:  Japan Confirmed .            28       84    17111      316        5      316     4109     2212
