TAB:  United_Kingdom Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  United_Kingdom Confirmed 1/23/2020     1        0   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .             2        0   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 1/25/2020     3        0   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .             4        0   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 1/27/2020     5        0   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .             6        0   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 1/29/2020     7        0   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .             8        0   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 1/31/2020     9        2   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .            10        2   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 2/2/2020     11        2   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .            12        2   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 2/4/2020     13        2   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .            14        2   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 2/6/2020     15        2   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .            16        3   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 2/8/2020     17        3   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .            18        3   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 2/10/2020    19        8   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .            20        8   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed 2/12/2020    21        9   289140        0        0        0        0        0
TAB:  United_Kingdom Confirmed .            22        9   289140     5341        2     5341     5341     5341
TAB:  United_Kingdom Confirmed 2/14/2020    23        9   289140     5341        2     5341     5341     5341
TAB:  United_Kingdom Confirmed .            24        9   289140     5341        3     5341     5341     5341
TAB:  United_Kingdom Confirmed 2/16/2020    25        9   289140     5341        3     5341     5341     5341
TAB:  United_Kingdom Confirmed .            26        9   289140     5341        4     5341     5341     5341
TAB:  United_Kingdom Confirmed 2/18/2020    27        9   289140     5341        5     5341     5341     5341
TAB:  United_Kingdom Confirmed .            28        9   289140     5341        4     5341     5341     5341
