TAB:  United_Kingdom Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  United_Kingdom Deaths    1/23/2020     1        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .             2        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    1/25/2020     3        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .             4        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    1/27/2020     5        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .             6        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    1/29/2020     7        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .             8        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    1/31/2020     9        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            10        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    2/2/2020     11        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            12        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    2/4/2020     13        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            14        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    2/6/2020     15        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            16        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    2/8/2020     17        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            18        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    2/10/2020    19        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            20        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    2/12/2020    21        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            22        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    2/14/2020    23        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    .            24        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    2/16/2020    25        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    .            26        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    2/18/2020    27        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    .            28        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    2/20/2020    29        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    .            30        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    2/22/2020    31        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    .            32        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    2/24/2020    33        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            34        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    2/26/2020    35        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            36        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    2/28/2020    37        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    .            38        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    3/1/2020     39        0    40883        0        0    16023  1618376    48070
TAB:  United_Kingdom Deaths    .            40        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    3/3/2020     41        0    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    .            42        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    3/5/2020     43        0    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            44        1    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    3/7/2020     45        2    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    .            46        2    40883        0        0     5341     5341     5341
TAB:  United_Kingdom Deaths    3/9/2020     47        3    40883        0        0     5341   229670    16023
TAB:  United_Kingdom Deaths    .            48        7    40883        0        0     5341   667647    16023
TAB:  United_Kingdom Deaths    3/11/2020    49        7    40883        0        0     5341   421953    26705
TAB:  United_Kingdom Deaths    .            50        9    40883      748        1      748      748      748
TAB:  United_Kingdom Deaths    3/13/2020    51       10    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            52       28    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    3/15/2020    53       43    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    .            54       65    40883        0        0        0        0        0
TAB:  United_Kingdom Deaths    3/17/2020    55       81    40883      755        2      755      755      755
