TAB:  Austria Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Austria Confirmed 1/23/2020     1        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .             2        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 1/25/2020     3        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .             4        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 1/27/2020     5        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .             6        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 1/29/2020     7        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .             8        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 1/31/2020     9        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            10        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/2/2020     11        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            12        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/4/2020     13        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            14        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/6/2020     15        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            16        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/8/2020     17        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            18        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/10/2020    19        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            20        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/12/2020    21        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            22        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/14/2020    23        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            24        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/16/2020    25        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            26        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/18/2020    27        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            28        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/20/2020    29        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            30        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/22/2020    31        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            32        0    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/24/2020    33        0    16979        0        0        0        0        0
TAB:  Austria Confirmed .            34        2    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/26/2020    35        2    16979        0        0        0        0        0
TAB:  Austria Confirmed .            36        3    16979        0        0        0        0        0
TAB:  Austria Confirmed 2/28/2020    37        3    16979        0        0        0        0        0
TAB:  Austria Confirmed .            38        9    16979        0        0        0        0        0
TAB:  Austria Confirmed 3/1/2020     39       14    16979        0        0        0        0        0
TAB:  Austria Confirmed .            40       18    16979        0        0        0        0        0
TAB:  Austria Confirmed 3/3/2020     41       21    16979      313        2      313      313      313
TAB:  Austria Confirmed .            42       29    16979        0        0        0        0        0
TAB:  Austria Confirmed 3/5/2020     43       41    16979      313        4      313      313      313
TAB:  Austria Confirmed .            44       55    16979      313        3      313      940      940
