TAB:  US_Washington_King Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Washington_King Confirmed 1/23/2020     1        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .             2        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 1/25/2020     3        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .             4        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 1/27/2020     5        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .             6        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 1/29/2020     7        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .             8        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 1/31/2020     9        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            10        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/2/2020     11        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            12        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/4/2020     13        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            14        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/6/2020     15        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            16        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/8/2020     17        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            18        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/10/2020    19        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            20        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/12/2020    21        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            22        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/14/2020    23        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            24        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/16/2020    25        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            26        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/18/2020    27        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            28        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/20/2020    29        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            30        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/22/2020    31        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            32        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/24/2020    33        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            34        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/26/2020    35        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            36        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 2/28/2020    37        1     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed .            38        6     8529        0        0        0        0        0
TAB:  US_Washington_King Confirmed 3/1/2020     39        9     8529        0        0        0        0        0
