TAB:  US_New_York_Westchester Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Westchester Deaths    1/23/2020     1        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .             2        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    1/25/2020     3        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .             4        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    1/27/2020     5        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .             6        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    1/29/2020     7        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .             8        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    1/31/2020     9        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            10        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/2/2020     11        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            12        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/4/2020     13        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            14        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/6/2020     15        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            16        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/8/2020     17        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            18        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/10/2020    19        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            20        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/12/2020    21        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            22        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/14/2020    23        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            24        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/16/2020    25        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            26        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/18/2020    27        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            28        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/20/2020    29        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            30        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/22/2020    31        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            32        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/24/2020    33        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            34        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/26/2020    35        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            36        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    2/28/2020    37        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            38        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    3/1/2020     39        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            40        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    3/3/2020     41        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            42        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    3/5/2020     43        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            44        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    3/7/2020     45        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            46        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    3/9/2020     47        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            48        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    3/11/2020    49        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            50        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    3/13/2020    51        0     1395        0        0      628      628      628
TAB:  US_New_York_Westchester Deaths    .            52        0     1395        0        0      625      625      625
TAB:  US_New_York_Westchester Deaths    3/15/2020    53        0     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            54        0     1395        0        0      628     3143     1886
TAB:  US_New_York_Westchester Deaths    3/17/2020    55        0     1395        0        0      628     1886     1886
TAB:  US_New_York_Westchester Deaths    .            56        0     1395        0        0     1886    20747    11945
TAB:  US_New_York_Westchester Deaths    3/19/2020    57        0     1395        0        0     4401    83619    83619
TAB:  US_New_York_Westchester Deaths    .            58        0     1395        0        0    10688    10688    10688
TAB:  US_New_York_Westchester Deaths    3/21/2020    59        0     1395        0        0     5658    32064    19490
TAB:  US_New_York_Westchester Deaths    .            60        0     1395        0        0    11945    42123    39609
TAB:  US_New_York_Westchester Deaths    3/23/2020    61        0     1395        0        0   169124   169124   169124
TAB:  US_New_York_Westchester Deaths    .            62        1     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    3/25/2020    63        1     1395        0        0        0        0        0
TAB:  US_New_York_Westchester Deaths    .            64        1     1395        0        0    16975    62242    62242
TAB:  US_New_York_Westchester Deaths    3/27/2020    65        1     1395        0        0    20747   220678   117569
TAB:  US_New_York_Westchester Deaths    .            66       10     1395        0        0    15717   143975    53440
TAB:  US_New_York_Westchester Deaths    3/29/2020    67       10     1395        0        0    10688   137688    25777
TAB:  US_New_York_Westchester Deaths    .            68       10     1395        0        0    11945   140203    23262
TAB:  US_New_York_Westchester Deaths    3/31/2020    69       10     1395        0        0    11945   138946    20747
TAB:  US_New_York_Westchester Deaths    .            70       25     1395       65        1       65      110      110
TAB:  US_New_York_Westchester Deaths    4/2/2020     71       64     1395     1262        1     1262     6931     6931
TAB:  US_New_York_Westchester Deaths    .            72       67     1395      541        1      541     1623     1623
TAB:  US_New_York_Westchester Deaths    4/4/2020     73       67     1395       77        1       77     1777      541
TAB:  US_New_York_Westchester Deaths    .            74       67     1395       77        3       77     1829      283
TAB:  US_New_York_Westchester Deaths    4/6/2020     75      211     1395    -            1     7652     7652     7652
TAB:  US_New_York_Westchester Deaths    .            76      247     1395    -            1     8889     8889     8889
TAB:  US_New_York_Westchester Deaths    4/8/2020     77      283     1395      334        2      334     7549     5900
TAB:  US_New_York_Westchester Deaths    .            78      359     1395      438        1      438     5746     1777
TAB:  US_New_York_Westchester Deaths    4/10/2020    79      389     1395      438        1      438     6209     1520
TAB:  US_New_York_Westchester Deaths    .            80      461     1395      592        1      592     7652     2035
TAB:  US_New_York_Westchester Deaths    4/12/2020    81      511     1395      653        1      653     2831     1272
TAB:  US_New_York_Westchester Deaths    .            82      557     1395      692        1      692     2122     1027
TAB:  US_New_York_Westchester Deaths    4/14/2020    83      596     1395      858        2      705     1689      902
TAB:  US_New_York_Westchester Deaths    .            84      640     1395      873        2      760     1420      873
TAB:  US_New_York_Westchester Deaths    4/16/2020    85      668     1395      779        2      779     1251      881
TAB:  US_New_York_Westchester Deaths    .            86      668     1395      782        3      726     1110      844
TAB:  US_New_York_Westchester Deaths    4/18/2020    87      668     1395      741        2      686     1001      790
TAB:  US_New_York_Westchester Deaths    .            88      668     1395      764        2      680      926      788
TAB:  US_New_York_Westchester Deaths    4/20/2020    89      776     1395      953        3      901     1004      953
TAB:  US_New_York_Westchester Deaths    .            90      809     1395      953        4      953     1004     1004
TAB:  US_New_York_Westchester Deaths    4/22/2020    91      838     1395     1004        5      901     1056     1004
TAB:  US_New_York_Westchester Deaths    .            92      863     1395     1004        9      901     1108     1004
TAB:  US_New_York_Westchester Deaths    4/24/2020    93      891     1395     1004        8      953     3375     1159
TAB:  US_New_York_Westchester Deaths    .            94      920     1395     1056       11     1004     2499     1262
TAB:  US_New_York_Westchester Deaths    4/26/2020    95      946     1395     1063        5     1047     2459     1280
TAB:  US_New_York_Westchester Deaths    .            96      962     1395     1076        7     1057     1700     1178
TAB:  US_New_York_Westchester Deaths    4/28/2020    97      983     1395     1094        7     1072     1369     1178
TAB:  US_New_York_Westchester Deaths    .            98     1006     1395     1110       10     1095     1426     1225
TAB:  US_New_York_Westchester Deaths    4/30/2020    99     1031     1395     1108       12     1108     1571     1314
TAB:  US_New_York_Westchester Deaths    .           100     1049     1395     1159       14     1159     5024     1365
TAB:  US_New_York_Westchester Deaths    5/2/2020    101     1067     1395     1155        7     1155     1866     1285
TAB:  US_New_York_Westchester Deaths    .           102     1086     1395     1177        6     1161     1640     1301
TAB:  US_New_York_Westchester Deaths    5/4/2020    103     1101     1395     1191        6     1176     1440     1286
TAB:  US_New_York_Westchester Deaths    .           104     1116     1395     1188        5     1188     1383     1285
TAB:  US_New_York_Westchester Deaths    5/6/2020    105     1167     1395     1468        5     1262     3530     1674
TAB:  US_New_York_Westchester Deaths    .           106     1184     1395     1520        5     1314     6725     1829
TAB:  US_New_York_Westchester Deaths    5/8/2020    107     1191     1395     1468        5     1262     3736     1520
TAB:  US_New_York_Westchester Deaths    .           108     1203     1395     1515        5     1234     4860     1734
TAB:  US_New_York_Westchester Deaths    5/10/2020   109     1218     1395     1448        3     1251     2348     1485
TAB:  US_New_York_Westchester Deaths    .           110     1227     1395     1452        3     1249     1812     1452
TAB:  US_New_York_Westchester Deaths    5/12/2020   111     1238     1395     1417        6     1262     1623     1468
TAB:  US_New_York_Westchester Deaths    .           112     1245     1395     1316        4     1270     1514     1392
TAB:  US_New_York_Westchester Deaths    5/14/2020   113     1256     1395     1342        6     1290     1477     1395
TAB:  US_New_York_Westchester Deaths    .           114     1269     1395     1417       13     1314     1829     1520
TAB:  US_New_York_Westchester Deaths    5/16/2020   115     1275     1395     1417       16     1314     1571     1468
TAB:  US_New_York_Westchester Deaths    .           116     1289     1395     1417       19     1365     2138     1674
TAB:  US_New_York_Westchester Deaths    5/18/2020   117     1295     1395     1417       23     1365     3581     1623
TAB:  US_New_York_Westchester Deaths    .           118     1298     1395     1407        8     1316     1514     1407
TAB:  US_New_York_Westchester Deaths    5/20/2020   119     1305     1395     1411       10     1324     1425     1382
TAB:  US_New_York_Westchester Deaths    .           120     1313     1395     1411       14     1354     1426     1397
TAB:  US_New_York_Westchester Deaths    5/22/2020   121     1319     1395     1417       28     1365     1417     1417
TAB:  US_New_York_Westchester Deaths    .           122     1327     1395     1417       33     1365     1468     1417
TAB:  US_New_York_Westchester Deaths    5/24/2020   123     1337     1395     1417       29     1365     1984     1468
TAB:  US_New_York_Westchester Deaths    .           124     1343     1395     1417       32     1365     2293     1520
TAB:  US_New_York_Westchester Deaths    5/26/2020   125     1345     1395     1417       34     1365     1674     1468
TAB:  US_New_York_Westchester Deaths    .           126     1352     1395     1417       38     1365     1674     1520
TAB:  US_New_York_Westchester Deaths    5/28/2020   127     1357     1395     1422       28     1378     1529     1440
TAB:  US_New_York_Westchester Deaths    .           128     1359     1395     1425       29     1381     1462     1425
TAB:  US_New_York_Westchester Deaths    5/30/2020   129     1364     1395     1425       28     1396     1440     1425
TAB:  US_New_York_Westchester Deaths    .           130     1371     1395     1417       47     1417     3890     1468
TAB:  US_New_York_Westchester Deaths    6/1/2020    131     1374     1395     1417       47     1417     1571     1468
TAB:  US_New_York_Westchester Deaths    .           132     1378     1395     1417       46     1417     2035     1571
TAB:  US_New_York_Westchester Deaths    6/3/2020    133     1381     1395     1421       25     1390     1529     1436
TAB:  US_New_York_Westchester Deaths    .           134     1385     1395     1439       23     1409     1499     1454
TAB:  US_New_York_Westchester Deaths    6/5/2020    135     1389     1395     1417       47     1417     1520     1468
TAB:  US_New_York_Westchester Deaths    .           136     1392     1395     1417       46     1417     1726     1520
TAB:  US_New_York_Westchester Deaths    6/7/2020    137     1392     1395     1440       36     1411     1440     1425
TAB:  US_New_York_Westchester Deaths    .           138     1395     1395     1440       41     1411     1440     1425
TAB:  US_New_York_Westchester Deaths    6/9/2020    139     1395     1395     1426       18     1411     1426     1426
