TAB:  US_Massachusetts_Worcester Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Massachusetts_Worcester Deaths    1/23/2020     1        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .             2        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    1/25/2020     3        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .             4        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    1/27/2020     5        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .             6        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    1/29/2020     7        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .             8        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    1/31/2020     9        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            10        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/2/2020     11        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            12        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/4/2020     13        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            14        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/6/2020     15        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            16        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/8/2020     17        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            18        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/10/2020    19        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            20        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/12/2020    21        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            22        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/14/2020    23        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            24        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/16/2020    25        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            26        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/18/2020    27        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            28        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/20/2020    29        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            30        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/22/2020    31        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            32        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/24/2020    33        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            34        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/26/2020    35        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            36        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    2/28/2020    37        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            38        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/1/2020     39        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            40        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/3/2020     41        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            42        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/5/2020     43        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            44        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/7/2020     45        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            46        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/9/2020     47        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            48        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/11/2020    49        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            50        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/13/2020    51        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            52        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/15/2020    53        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            54        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/17/2020    55        0      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            56        0      834        0        0      218      218      218
TAB:  US_Massachusetts_Worcester Deaths    3/19/2020    57        0      834        0        0      218      654      654
TAB:  US_Massachusetts_Worcester Deaths    .            58        0      834        0        0      218      218      218
TAB:  US_Massachusetts_Worcester Deaths    3/21/2020    59        0      834        0        0      218    25509    25509
TAB:  US_Massachusetts_Worcester Deaths    .            60        0      834        0        0      218     3270     1090
TAB:  US_Massachusetts_Worcester Deaths    3/23/2020    61        0      834        0        0      218    82198     1526
TAB:  US_Massachusetts_Worcester Deaths    .            62        0      834        0        0     2834    38591     5014
TAB:  US_Massachusetts_Worcester Deaths    3/25/2020    63        2      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            64        3      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    3/27/2020    65        3      834        0        0     1526     1526     1526
TAB:  US_Massachusetts_Worcester Deaths    .            66        5      834        0        0      654    15916     1526
TAB:  US_Massachusetts_Worcester Deaths    3/29/2020    67        5      834        0        0      654    23329     1962
TAB:  US_Massachusetts_Worcester Deaths    .            68        5      834        0        0      654    18096     2834
TAB:  US_Massachusetts_Worcester Deaths    3/31/2020    69        7      834       27        1       27       27       27
TAB:  US_Massachusetts_Worcester Deaths    .            70        9      834       77        1       77      354      354
TAB:  US_Massachusetts_Worcester Deaths    4/2/2020     71       13      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    .            72       14      834        0        0        0        0        0
TAB:  US_Massachusetts_Worcester Deaths    4/4/2020     73       17      834       46        1       46      138      138
TAB:  US_Massachusetts_Worcester Deaths    .            74       17      834       15        2       15      200      107
