TAB:  US_New_Jersey_Burlington Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_Jersey_Burlington Confirmed 1/23/2020     1        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .             2        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 1/25/2020     3        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .             4        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 1/27/2020     5        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .             6        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 1/29/2020     7        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .             8        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 1/31/2020     9        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            10        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/2/2020     11        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            12        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/4/2020     13        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            14        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/6/2020     15        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            16        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/8/2020     17        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            18        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/10/2020    19        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            20        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/12/2020    21        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            22        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/14/2020    23        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            24        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/16/2020    25        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            26        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/18/2020    27        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            28        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/20/2020    29        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            30        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/22/2020    31        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            32        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/24/2020    33        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            34        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/26/2020    35        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            36        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 2/28/2020    37        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            38        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/1/2020     39        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            40        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/3/2020     41        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            42        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/5/2020     43        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            44        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/7/2020     45        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            46        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/9/2020     47        0     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            48        2     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/11/2020    49        2     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            50        2     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/13/2020    51        3     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            52        3     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/15/2020    53        3     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            54        5     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/17/2020    55        5     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            56       10     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed 3/19/2020    57       14     4808        0        0        0        0        0
TAB:  US_New_Jersey_Burlington Confirmed .            58       17     4808      266        1      266      266      266
TAB:  US_New_Jersey_Burlington Confirmed 3/21/2020    59       21     4808       88        2       88       88       88
TAB:  US_New_Jersey_Burlington Confirmed .            60       26     4808       88        3       88      266      266
TAB:  US_New_Jersey_Burlington Confirmed 3/23/2020    61       36     4808      266        2       88     1509      266
TAB:  US_New_Jersey_Burlington Confirmed .            62       42     4808      266        2       88      799      266
TAB:  US_New_Jersey_Burlington Confirmed 3/25/2020    63       48     4808       88        3       88    11101      976
TAB:  US_New_Jersey_Burlington Confirmed .            64       64     4808      444        2      266    22647      799
TAB:  US_New_Jersey_Burlington Confirmed 3/27/2020    65       88     4808     1509        1     1509     4884     2398
TAB:  US_New_Jersey_Burlington Confirmed .            66      115     4808     9325        1     9325    30641    18207
TAB:  US_New_Jersey_Burlington Confirmed 3/29/2020    67      142     4808    -            1    25489    25489    25489
TAB:  US_New_Jersey_Burlington Confirmed .            68      178     4808     1332        1     1332     1332     1332
TAB:  US_New_Jersey_Burlington Confirmed 3/31/2020    69      202     4808      444        1      444     2398      621
TAB:  US_New_Jersey_Burlington Confirmed .            70      255     4808     1154        1     1154     3641     2575
TAB:  US_New_Jersey_Burlington Confirmed 4/2/2020     71      294     4808     1332        2     1332    16786     2575
TAB:  US_New_Jersey_Burlington Confirmed .            72      367     4808     2930        1     2930    27443     5595
TAB:  US_New_Jersey_Burlington Confirmed 4/4/2020     73      469     4808    -            1    14654    32772    32772
TAB:  US_New_Jersey_Burlington Confirmed .            74      547     4808    -            1    24246    24246    24246
TAB:  US_New_Jersey_Burlington Confirmed 4/6/2020     75      646     4808    -            1    31529    31529    31529
TAB:  US_New_Jersey_Burlington Confirmed .            76      733     4808     1509        1     1509    24068     7549
TAB:  US_New_Jersey_Burlington Confirmed 4/8/2020     77      801     4808     1154        1     1154    20516     7194
TAB:  US_New_Jersey_Burlington Confirmed .            78      883     4808     1332        3     1332    26555     8792
TAB:  US_New_Jersey_Burlington Confirmed 4/10/2020    79      954     4808     1332        3     1332    30818     5240
TAB:  US_New_Jersey_Burlington Confirmed .            80     1031     4808     1509        3     1509    34549     5062
TAB:  US_New_Jersey_Burlington Confirmed 4/12/2020    81     1095     4808     1687        4     1509    34904     4884
