TAB:  US_Pennsylvania_Northampton Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Northampton Deaths    1/23/2020     1        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .             2        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    1/25/2020     3        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .             4        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    1/27/2020     5        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .             6        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    1/29/2020     7        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .             8        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    1/31/2020     9        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            10        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/2/2020     11        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            12        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/4/2020     13        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            14        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/6/2020     15        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            16        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/8/2020     17        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            18        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/10/2020    19        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            20        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/12/2020    21        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            22        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/14/2020    23        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            24        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/16/2020    25        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            26        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    2/18/2020    27        0      236        0        0        0        0        0
TAB:  US_Pennsylvania_Northampton Deaths    .            28        0      236        0        0        0        0        0
