TAB:  US_Georgia_Fulton Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Georgia_Fulton Confirmed 1/23/2020     1        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .             2        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 1/25/2020     3        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .             4        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 1/27/2020     5        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .             6        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 1/29/2020     7        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .             8        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 1/31/2020     9        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            10        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/2/2020     11        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            12        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/4/2020     13        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            14        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/6/2020     15        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            16        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/8/2020     17        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            18        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/10/2020    19        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            20        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/12/2020    21        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            22        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/14/2020    23        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            24        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/16/2020    25        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            26        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/18/2020    27        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            28        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/20/2020    29        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            30        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/22/2020    31        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            32        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/24/2020    33        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            34        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/26/2020    35        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            36        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 2/28/2020    37        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            38        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 3/1/2020     39        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            40        0     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 3/3/2020     41        2     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            42        2     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 3/5/2020     43        2     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            44        2     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 3/7/2020     45        3     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            46        3     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 3/9/2020     47        5     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            48        5     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 3/11/2020    49        7     4925      454        1      454      454      454
TAB:  US_Georgia_Fulton Confirmed .            50        6     4925       90        1       90       90       90
TAB:  US_Georgia_Fulton Confirmed 3/13/2020    51        8     4925       90        4       90       90       90
TAB:  US_Georgia_Fulton Confirmed .            52       13     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 3/15/2020    53       20     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed .            54       27     4925        0        0        0        0        0
TAB:  US_Georgia_Fulton Confirmed 3/17/2020    55       33     4925       90        1       90     3548     3548
TAB:  US_Georgia_Fulton Confirmed .            56       49     4925      454        1      454     1728     1728
TAB:  US_Georgia_Fulton Confirmed 3/19/2020    57       66     4925     1728        1     1728     5549     5549
TAB:  US_Georgia_Fulton Confirmed .            58       88     4925     4457        1     4457    11372    11372
TAB:  US_Georgia_Fulton Confirmed 3/21/2020    59       99     4925      454        1      454     5731     2092
TAB:  US_Georgia_Fulton Confirmed .            60      111     4925       90        2       90     2820      454
TAB:  US_Georgia_Fulton Confirmed 3/23/2020    61      145     4925      636        3      454    15557      818
TAB:  US_Georgia_Fulton Confirmed .            62      184     4925     1546        2     1182    13191     1910
TAB:  US_Georgia_Fulton Confirmed 3/25/2020    63      198     4925     1182        3     1000     5003     2092
TAB:  US_Georgia_Fulton Confirmed .            64      211     4925      818        3      272    26110     1182
TAB:  US_Georgia_Fulton Confirmed 3/27/2020    65      307     4925     1910        2     1910    12827     3366
TAB:  US_Georgia_Fulton Confirmed .            66      373     4925     3548        1     3548    21925     8642
TAB:  US_Georgia_Fulton Confirmed 3/29/2020    67      407     4925     3730        1     3730    35390     8278
TAB:  US_Georgia_Fulton Confirmed .            68      463     4925      636        1      636    24472     5731
TAB:  US_Georgia_Fulton Confirmed 3/31/2020    69      570     4925     9370        2     1728    26110     9370
TAB:  US_Georgia_Fulton Confirmed .            70      624     4925     1546        1     1546    21561     7915
TAB:  US_Georgia_Fulton Confirmed 4/2/2020     71      712     4925     1910        1     1910    33570     9006
TAB:  US_Georgia_Fulton Confirmed .            72      882     4925     7369        1     7369    26656    12463
TAB:  US_Georgia_Fulton Confirmed 4/4/2020     73      941     4925     6095        1     6095    33570    14829
TAB:  US_Georgia_Fulton Confirmed .            74      962     4925    13191        2     1000    35754    11918
TAB:  US_Georgia_Fulton Confirmed 4/6/2020     75     1027     4925     1182        1     1182    35754     7733
TAB:  US_Georgia_Fulton Confirmed .            76     1124     4925     6459        2     1364    24836     6277
TAB:  US_Georgia_Fulton Confirmed 4/8/2020     77     1240     4925     2092        2     2092    28294     5913
TAB:  US_Georgia_Fulton Confirmed .            78     1276     4925     1910        3     1910    30659     5185
TAB:  US_Georgia_Fulton Confirmed 4/10/2020    79     1364     4925     2092        5     2092    21379     4821
TAB:  US_Georgia_Fulton Confirmed .            80     1422     4925     2092        5     1728    15739     3912
TAB:  US_Georgia_Fulton Confirmed 4/12/2020    81     1467     4925     1691        2     1691     9349     3354
TAB:  US_Georgia_Fulton Confirmed .            82     1598     4925     2308        2     2308     8287     3523
TAB:  US_Georgia_Fulton Confirmed 4/14/2020    83     1812     4925     3912        5     3184     8824     4457
TAB:  US_Georgia_Fulton Confirmed .            84     1844     4925     3912        6     3184     7915     4639
TAB:  US_Georgia_Fulton Confirmed 4/16/2020    85     1929     4925     3912        7     2274     7187     4457
TAB:  US_Georgia_Fulton Confirmed .            86     2025     4925     3912       10     2274    32842     4639
TAB:  US_Georgia_Fulton Confirmed 4/18/2020    87     2054     4925     3912        8     2092    18286     4457
