TAB:  US_Missouri_St._Louis_St_Louis Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 1/23/2020     1        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .             2        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 1/25/2020     3        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .             4        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 1/27/2020     5        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .             6        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 1/29/2020     7        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .             8        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 1/31/2020     9        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            10        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/2/2020     11        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            12        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/4/2020     13        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            14        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/6/2020     15        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            16        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/8/2020     17        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            18        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/10/2020    19        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            20        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/12/2020    21        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            22        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/14/2020    23        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            24        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/16/2020    25        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            26        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/18/2020    27        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            28        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/20/2020    29        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed .            30        0     5217        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Confirmed 2/22/2020    31        0     5217        0        0        0        0        0
