TAB:  US_Missouri_St._Louis_St_Louis Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Missouri_St._Louis_St_Louis Deaths    1/23/2020     1        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .             2        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    1/25/2020     3        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .             4        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    1/27/2020     5        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .             6        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    1/29/2020     7        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .             8        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    1/31/2020     9        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            10        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/2/2020     11        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            12        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/4/2020     13        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            14        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/6/2020     15        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            16        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/8/2020     17        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            18        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/10/2020    19        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            20        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/12/2020    21        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            22        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/14/2020    23        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            24        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/16/2020    25        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            26        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/18/2020    27        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            28        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/20/2020    29        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            30        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/22/2020    31        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            32        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/24/2020    33        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            34        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/26/2020    35        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            36        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    2/28/2020    37        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            38        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/1/2020     39        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            40        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/3/2020     41        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            42        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/5/2020     43        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            44        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/7/2020     45        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            46        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/9/2020     47        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            48        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/11/2020    49        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            50        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/13/2020    51        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            52        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/15/2020    53        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            54        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/17/2020    55        0      480        0        0       95       95       95
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            56        0      480        0        0       96      289      289
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/19/2020    57        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            58        0      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/21/2020    59        1      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            60        1      480        0        0      674      674      674
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/23/2020    61        1      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            62        1      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/25/2020    63        1      480        0        0     2794     2794     2794
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            64        2      480        0        0      289      481      481
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/27/2020    65        2      480        0        0      674     2987      867
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            66        2      480        0        0      867     5685     2023
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/29/2020    67        2      480        0        0      674     5107     1638
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            68        2      480    -            1     2378     2378     2378
TAB:  US_Missouri_St._Louis_St_Louis Deaths    3/31/2020    69        3      480        8        2        8      115      115
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            70        3      480        8        3        8       12       12
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/2/2020     71        4      480        8        1        8      718       44
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            72        4      480        8        3        8       97       44
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/4/2020     73        7      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            74       11      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/6/2020     75       13      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            76       14      480        8        1        8       79       79
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/8/2020     77       24      480        0        0        0        0        0
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            78       26      480      505        1      505      505      505
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/10/2020    79       33      480      328        1      328     2207     2207
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            80       42      480      168        1      168     1959      487
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/12/2020    81       42      480       62        1       62     2473      203
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            82       42      480       62        1       62     1179      115
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/14/2020    83       53      480      115        2       79     1569      168
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            84       53      480       79        4       79     1462      132
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/16/2020    85       66      480      132        3      115     2881      274
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            86       72      480      132        3      132      930      274
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/18/2020    87       80      480      168        4      150     1462      363
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            88       81      480      150        5       97     2757      292
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/20/2020    89       82      480      150        4       79     1427      203
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            90       91      480      150        5      115     1569      203
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/22/2020    91       97      480      150        7      132     1728      221
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            92      105      480      168        7      150     1959      257
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/24/2020    93      121      480      203        4      203     1196      363
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            94      127      480      221        4      221     1462      434
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/26/2020    95      127      480      221        4      168      664      363
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            96      137      480      381        4      150      558      328
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/28/2020    97      159      480      274        4      274     1374      487
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .            98      159      480      274        3      274     2207      558
TAB:  US_Missouri_St._Louis_St_Louis Deaths    4/30/2020    99      162      480      274        3      168     1108      452
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           100      168      480      274        4      168      842      381
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/2/2020    101      177      480      286        3      197      746      345
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           102      177      480      274        4      186      487      328
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/4/2020    103      177      480      274        6      186      398      310
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           104      189      480      292        7      221      381      310
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/6/2020    105      204      480      292       10      292      381      345
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           106      220      480      310        5      310     1374      398
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/8/2020    107      246      480      381        5      363     1196      576
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           108      255      480      398        4      398     2136      682
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/10/2020   109      262      480      416        4      292     2526      753
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           110      266      480      434        6      274     3182      753
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/12/2020   111      278      480      452        6      310     2703      771
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           112      293      480      469        7      363     2739      806
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/14/2020   113      305      480      487        7      381     2739      806
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           114      318      480      505        6      434     3235      895
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/16/2020   115      329      480      523        4      452     2650      877
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           116      333      480      540        6      363     2881      877
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/18/2020   117      336      480      540        6      345     3271      895
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           118      347      480      552        6      381     2047      941
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/20/2020   119      350      480      555        4      374     1304      713
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           120      376      480      571        5      491     1263      855
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/22/2020   121      380      480      574        3      501     1121      823
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           122      384      480      593        7      398     1019      735
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/24/2020   123      385      480      593        7      381      930      718
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           124      387      480      580        4      387      842      623
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/26/2020   125      387      480      389        5      389      765      599
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           126      388      480      388        6      388      717      580
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/28/2020   127      395      480      551        3      437      681      568
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           128      415      480      558        4      468      661      568
TAB:  US_Missouri_St._Louis_St_Louis Deaths    5/30/2020   129      442      480      581        5      556      685      622
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           130      443      480      593       13      576      700      647
TAB:  US_Missouri_St._Louis_St_Louis Deaths    6/1/2020    131      443      480      593       13      434      700      629
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           132      444      480      593       13      452      682      629
TAB:  US_Missouri_St._Louis_St_Louis Deaths    6/3/2020    133      446      480      585        6      448      661      605
TAB:  US_Missouri_St._Louis_St_Louis Deaths    .           134      449      480      593       12      452      647      593
