TAB:  US_Illinois_Kane Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Illinois_Kane Deaths    1/23/2020     1        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .             2        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    1/25/2020     3        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .             4        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    1/27/2020     5        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .             6        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    1/29/2020     7        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .             8        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    1/31/2020     9        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            10        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/2/2020     11        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            12        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/4/2020     13        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            14        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/6/2020     15        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            16        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/8/2020     17        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            18        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/10/2020    19        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            20        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/12/2020    21        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            22        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/14/2020    23        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            24        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/16/2020    25        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            26        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/18/2020    27        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            28        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/20/2020    29        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            30        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/22/2020    31        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            32        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/24/2020    33        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            34        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/26/2020    35        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            36        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    2/28/2020    37        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            38        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/1/2020     39        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            40        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/3/2020     41        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            42        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/5/2020     43        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            44        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/7/2020     45        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            46        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/9/2020     47        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            48        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/11/2020    49        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            50        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/13/2020    51        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            52        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/15/2020    53        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            54        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/17/2020    55        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            56        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/19/2020    57        0      214        0        0      127      127      127
TAB:  US_Illinois_Kane Deaths    .            58        0      214        0        0      127      127      127
TAB:  US_Illinois_Kane Deaths    3/21/2020    59        0      214        0        0      127      127      127
TAB:  US_Illinois_Kane Deaths    .            60        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/23/2020    61        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            62        0      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/25/2020    63        1      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            64        1      214        0        0      382     1401     1401
TAB:  US_Illinois_Kane Deaths    3/27/2020    65        2      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            66        4      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    3/29/2020    67        6      214        0        0      127    36310     9555
TAB:  US_Illinois_Kane Deaths    .            68        6      214        0        0      127     2675      891
TAB:  US_Illinois_Kane Deaths    3/31/2020    69        7      214        7        1        7        7        7
TAB:  US_Illinois_Kane Deaths    .            70        8      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    4/2/2020     71        8      214        7        2        7        7        7
TAB:  US_Illinois_Kane Deaths    .            72        9      214       10        3       10       10       10
TAB:  US_Illinois_Kane Deaths    4/4/2020     73       12      214        0        0      382    11084      891
TAB:  US_Illinois_Kane Deaths    .            74       15      214        0        0      382    43445     1146
TAB:  US_Illinois_Kane Deaths    4/6/2020     75       15      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            76       18      214       35        1       35      272      272
TAB:  US_Illinois_Kane Deaths    4/8/2020     77       19      214       19        1       19       43       35
TAB:  US_Illinois_Kane Deaths    .            78       20      214       19        3       19      359       43
TAB:  US_Illinois_Kane Deaths    4/10/2020    79       22      214       34        3       26      131       38
TAB:  US_Illinois_Kane Deaths    .            80       22      214       26        2       24       59       30
TAB:  US_Illinois_Kane Deaths    4/12/2020    81       23      214       25        3       25       37       28
TAB:  US_Illinois_Kane Deaths    .            82       24      214       27        4       26       33       29
TAB:  US_Illinois_Kane Deaths    4/14/2020    83       24      214       26        6       25       30       28
TAB:  US_Illinois_Kane Deaths    .            84       24      214       25        5       23       28       26
TAB:  US_Illinois_Kane Deaths    4/16/2020    85       25      214       25        6       25       27       27
TAB:  US_Illinois_Kane Deaths    .            86       28      214        0        0      891     1911     1401
TAB:  US_Illinois_Kane Deaths    4/18/2020    87       29      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            88       30      214       35        1       35       35       35
TAB:  US_Illinois_Kane Deaths    4/20/2020    89       31      214       35        3       35       51       51
TAB:  US_Illinois_Kane Deaths    .            90       33      214       43        1       43     1537       59
TAB:  US_Illinois_Kane Deaths    4/22/2020    91       37      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            92       39      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    4/24/2020    93       39      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            94       38      214       35        2       35       35       35
TAB:  US_Illinois_Kane Deaths    4/26/2020    95       39      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .            96       39      214      249        1      249      249      249
TAB:  US_Illinois_Kane Deaths    4/28/2020    97       41      214       59        2       59      130       67
TAB:  US_Illinois_Kane Deaths    .            98       45      214       59        1       59     1134      162
TAB:  US_Illinois_Kane Deaths    4/30/2020    99       48      214      169        1      169     1292      312
TAB:  US_Illinois_Kane Deaths    .           100       52      214    -            1      897      897      897
TAB:  US_Illinois_Kane Deaths    5/2/2020    101       54      214      122        1      122      122      122
TAB:  US_Illinois_Kane Deaths    .           102       57      214       75        1       75       90       90
TAB:  US_Illinois_Kane Deaths    5/4/2020    103       57      214       67        2       67       90       90
TAB:  US_Illinois_Kane Deaths    .           104       65      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    5/6/2020    105       74      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    .           106       77      214        0        0        0        0        0
TAB:  US_Illinois_Kane Deaths    5/8/2020    107       84      214      162        1      162      162      162
TAB:  US_Illinois_Kane Deaths    .           108       88      214      106        1      106      976      130
TAB:  US_Illinois_Kane Deaths    5/10/2020   109       89      214       98        2       98      130      106
TAB:  US_Illinois_Kane Deaths    .           110       90      214       90        2       90      415      106
TAB:  US_Illinois_Kane Deaths    5/12/2020   111       93      214       98        2       98      130      106
TAB:  US_Illinois_Kane Deaths    .           112       98      214      114        2      114      652      256
TAB:  US_Illinois_Kane Deaths    5/14/2020   113      104      214      130        1      130     1268      193
