TAB:  US_Virginia_Fairfax Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Virginia_Fairfax Deaths    1/23/2020     1        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .             2        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    1/25/2020     3        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .             4        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    1/27/2020     5        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .             6        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    1/29/2020     7        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .             8        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    1/31/2020     9        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .            10        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    2/2/2020     11        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .            12        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    2/4/2020     13        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .            14        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    2/6/2020     15        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .            16        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    2/8/2020     17        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .            18        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    2/10/2020    19        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .            20        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    2/12/2020    21        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    .            22        0      416        0        0        0        0        0
TAB:  US_Virginia_Fairfax Deaths    2/14/2020    23        0      416        0        0        0        0        0
