TAB:  US_Pennsylvania_Chester Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Chester Deaths    1/23/2020     1        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .             2        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    1/25/2020     3        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .             4        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    1/27/2020     5        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .             6        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    1/29/2020     7        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .             8        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    1/31/2020     9        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            10        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/2/2020     11        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            12        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/4/2020     13        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            14        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/6/2020     15        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            16        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/8/2020     17        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            18        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/10/2020    19        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            20        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/12/2020    21        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            22        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/14/2020    23        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            24        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/16/2020    25        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            26        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/18/2020    27        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    .            28        0      303        0        0        0        0        0
TAB:  US_Pennsylvania_Chester Deaths    2/20/2020    29        0      303        0        0        0        0        0
