TAB:  US_Michigan_Kent Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Michigan_Kent Deaths    1/23/2020     1        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .             2        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    1/25/2020     3        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .             4        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    1/27/2020     5        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .             6        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    1/29/2020     7        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .             8        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    1/31/2020     9        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            10        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/2/2020     11        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            12        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/4/2020     13        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            14        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/6/2020     15        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            16        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/8/2020     17        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            18        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/10/2020    19        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            20        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/12/2020    21        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            22        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/14/2020    23        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            24        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/16/2020    25        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            26        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/18/2020    27        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            28        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/20/2020    29        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            30        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/22/2020    31        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            32        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/24/2020    33        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            34        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/26/2020    35        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            36        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    2/28/2020    37        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            38        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/1/2020     39        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            40        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/3/2020     41        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            42        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/5/2020     43        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            44        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/7/2020     45        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            46        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/9/2020     47        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            48        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/11/2020    49        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            50        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/13/2020    51        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            52        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/15/2020    53        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            54        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/17/2020    55        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            56        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/19/2020    57        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            58        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/21/2020    59        0      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            60        1      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    3/23/2020    61        1      107        0        0       78      390      390
TAB:  US_Michigan_Kent Deaths    .            62        1      107        0        0       78      234      234
TAB:  US_Michigan_Kent Deaths    3/25/2020    63        1      107        0        0       78      234      234
TAB:  US_Michigan_Kent Deaths    .            64        1      107        0        0       78      390      390
TAB:  US_Michigan_Kent Deaths    3/27/2020    65        1      107        0        0       75      185       98
TAB:  US_Michigan_Kent Deaths    .            66        1      107        0        0       78     1482      390
TAB:  US_Michigan_Kent Deaths    3/29/2020    67        1      107        0        0      390      858      546
TAB:  US_Michigan_Kent Deaths    .            68        1      107        0        0     1263     2045     1289
TAB:  US_Michigan_Kent Deaths    3/31/2020    69        1      107        0        0     1951     7726     3043
TAB:  US_Michigan_Kent Deaths    .            70        2      107        0        0      234     6165     1951
TAB:  US_Michigan_Kent Deaths    4/2/2020     71        2      107        0        0      234     3668     1482
TAB:  US_Michigan_Kent Deaths    .            72        2      107        0        0      234     6633     1170
TAB:  US_Michigan_Kent Deaths    4/4/2020     73        2      107        0        0      234    12877     1170
TAB:  US_Michigan_Kent Deaths    .            74        3      107        9        1        9       29       29
TAB:  US_Michigan_Kent Deaths    4/6/2020     75        5      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    .            76        6      107        0        0        0        0        0
TAB:  US_Michigan_Kent Deaths    4/8/2020     77        8      107      274        1      274      274      274
TAB:  US_Michigan_Kent Deaths    .            78        9      107       13        1       13      389       25
TAB:  US_Michigan_Kent Deaths    4/10/2020    79       13      107      286        1      286      286      286
TAB:  US_Michigan_Kent Deaths    .            80       13      107       65        1       65      325      325
TAB:  US_Michigan_Kent Deaths    4/12/2020    81       13      107       33        1       33      728       61
TAB:  US_Michigan_Kent Deaths    .            82       13      107       21        1       21      641       57
TAB:  US_Michigan_Kent Deaths    4/14/2020    83       14      107       13        2       13      499       37
TAB:  US_Michigan_Kent Deaths    .            84       16      107       17        2       17      325       33
TAB:  US_Michigan_Kent Deaths    4/16/2020    85       16      107       17        4       17      223       33
TAB:  US_Michigan_Kent Deaths    .            86       20      107       33        1       33      306       57
