TAB:  US_Pennsylvania_Lancaster Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Lancaster Confirmed 1/23/2020     1        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .             2        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 1/25/2020     3        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .             4        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 1/27/2020     5        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .             6        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 1/29/2020     7        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .             8        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 1/31/2020     9        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            10        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/2/2020     11        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            12        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/4/2020     13        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            14        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/6/2020     15        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            16        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/8/2020     17        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            18        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/10/2020    19        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            20        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/12/2020    21        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            22        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/14/2020    23        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            24        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/16/2020    25        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            26        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/18/2020    27        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            28        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/20/2020    29        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            30        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/22/2020    31        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            32        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/24/2020    33        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            34        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/26/2020    35        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            36        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 2/28/2020    37        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            38        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/1/2020     39        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            40        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/3/2020     41        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            42        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/5/2020     43        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            44        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/7/2020     45        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            46        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/9/2020     47        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            48        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/11/2020    49        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            50        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/13/2020    51        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            52        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/15/2020    53        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            54        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed 3/17/2020    55        0     3554        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Confirmed .            56        1     3554        0        0        0        0        0
