TAB:  US_Pennsylvania_Lancaster Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Pennsylvania_Lancaster Deaths    1/23/2020     1        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .             2        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    1/25/2020     3        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .             4        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    1/27/2020     5        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .             6        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    1/29/2020     7        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .             8        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    1/31/2020     9        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            10        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/2/2020     11        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            12        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/4/2020     13        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            14        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/6/2020     15        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            16        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/8/2020     17        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            18        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/10/2020    19        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            20        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/12/2020    21        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            22        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/14/2020    23        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            24        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/16/2020    25        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            26        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/18/2020    27        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            28        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/20/2020    29        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            30        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/22/2020    31        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            32        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/24/2020    33        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            34        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/26/2020    35        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            36        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    2/28/2020    37        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            38        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/1/2020     39        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            40        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/3/2020     41        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            42        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/5/2020     43        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            44        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/7/2020     45        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            46        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/9/2020     47        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            48        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/11/2020    49        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            50        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/13/2020    51        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            52        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/15/2020    53        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            54        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/17/2020    55        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            56        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/19/2020    57        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            58        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/21/2020    59        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    .            60        0      320        0        0        0        0        0
TAB:  US_Pennsylvania_Lancaster Deaths    3/23/2020    61        0      320        0        0        0        0        0
