TAB:  US_California_Los_Angeles Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_California_Los_Angeles Confirmed 1/23/2020     1        0    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .             2        0    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 1/25/2020     3        0    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .             4        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 1/27/2020     5        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .             6        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 1/29/2020     7        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .             8        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 1/31/2020     9        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            10        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/2/2020     11        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            12        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/4/2020     13        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            14        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/6/2020     15        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            16        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/8/2020     17        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            18        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/10/2020    19        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            20        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/12/2020    21        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            22        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/14/2020    23        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            24        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/16/2020    25        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            26        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/18/2020    27        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            28        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/20/2020    29        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            30        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/22/2020    31        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            32        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/24/2020    33        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            34        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/26/2020    35        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            36        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 2/28/2020    37        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            38        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed 3/1/2020     39        1    65945        0        0        0        0        0
TAB:  US_California_Los_Angeles Confirmed .            40        1    65945        0        0        0        0        0
