TAB:  Sudan Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Sudan Deaths    1/23/2020     1        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .             2        0      389        0        0        0        0        0
TAB:  Sudan Deaths    1/25/2020     3        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .             4        0      389        0        0        0        0        0
TAB:  Sudan Deaths    1/27/2020     5        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .             6        0      389        0        0        0        0        0
TAB:  Sudan Deaths    1/29/2020     7        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .             8        0      389        0        0        0        0        0
TAB:  Sudan Deaths    1/31/2020     9        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            10        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/2/2020     11        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            12        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/4/2020     13        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            14        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/6/2020     15        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            16        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/8/2020     17        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            18        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/10/2020    19        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            20        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/12/2020    21        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            22        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/14/2020    23        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            24        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/16/2020    25        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            26        0      389        0        0        0        0        0
TAB:  Sudan Deaths    2/18/2020    27        0      389        0        0        0        0        0
TAB:  Sudan Deaths    .            28        0      389        0        0        0        0        0
