TAB:  US_Tennessee_Shelby Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Tennessee_Shelby Deaths    1/23/2020     1        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .             2        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    1/25/2020     3        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .             4        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    1/27/2020     5        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .             6        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    1/29/2020     7        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .             8        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    1/31/2020     9        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            10        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/2/2020     11        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            12        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/4/2020     13        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            14        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/6/2020     15        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            16        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/8/2020     17        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            18        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/10/2020    19        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            20        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/12/2020    21        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            22        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/14/2020    23        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            24        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/16/2020    25        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            26        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/18/2020    27        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            28        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/20/2020    29        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            30        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/22/2020    31        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            32        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/24/2020    33        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            34        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/26/2020    35        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            36        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    2/28/2020    37        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            38        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/1/2020     39        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            40        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/3/2020     41        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            42        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/5/2020     43        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            44        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/7/2020     45        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            46        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/9/2020     47        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            48        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/11/2020    49        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            50        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/13/2020    51        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            52        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/15/2020    53        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            54        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/17/2020    55        0      135        0        0      111      111      111
TAB:  US_Tennessee_Shelby Deaths    .            56        0      135        0        0      113      339      339
TAB:  US_Tennessee_Shelby Deaths    3/19/2020    57        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            58        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/21/2020    59        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    .            60        0      135        0        0        0        0        0
TAB:  US_Tennessee_Shelby Deaths    3/23/2020    61        0      135        0        0      113      339      339
TAB:  US_Tennessee_Shelby Deaths    .            62        0      135        0        0      113      339      339
TAB:  US_Tennessee_Shelby Deaths    3/25/2020    63        0      135        0        0      339     1018     1018
TAB:  US_Tennessee_Shelby Deaths    .            64        0      135        0        0      339     1697      565
TAB:  US_Tennessee_Shelby Deaths    3/27/2020    65        0      135        0        0      339     1923      565
TAB:  US_Tennessee_Shelby Deaths    .            66        0      135        0        0      339     2602     1018
TAB:  US_Tennessee_Shelby Deaths    3/29/2020    67        1      135        0        0      565     6449     1244
TAB:  US_Tennessee_Shelby Deaths    .            68        1      135        0        0      565    28398     1470
TAB:  US_Tennessee_Shelby Deaths    3/31/2020    69        1      135        0        0      565    17084     1244
TAB:  US_Tennessee_Shelby Deaths    .            70        1      135        0        0      791     6222     1470
TAB:  US_Tennessee_Shelby Deaths    4/2/2020     71        7      135        0        0     1244    15500     1923
TAB:  US_Tennessee_Shelby Deaths    .            72        7      135        0        0     1018    20478     3281
TAB:  US_Tennessee_Shelby Deaths    4/4/2020     73        8      135        0        0      791     6901     1923
TAB:  US_Tennessee_Shelby Deaths    .            74       11      135       13        1       13       13       13
TAB:  US_Tennessee_Shelby Deaths    4/6/2020     75       13      135       13        1       13       15       14
TAB:  US_Tennessee_Shelby Deaths    .            76       15      135       17        3       17       22       22
TAB:  US_Tennessee_Shelby Deaths    4/8/2020     77       17      135       18        1       18       29       20
TAB:  US_Tennessee_Shelby Deaths    .            78       20      135       24        1       24       49       27
TAB:  US_Tennessee_Shelby Deaths    4/10/2020    79       20      135       22        1       22       32       25
TAB:  US_Tennessee_Shelby Deaths    .            80       26      135      112        1      112      306      306
TAB:  US_Tennessee_Shelby Deaths    4/12/2020    81       26      135       37        1       37      117       72
TAB:  US_Tennessee_Shelby Deaths    .            82       21      135       20        6       20       20       20
TAB:  US_Tennessee_Shelby Deaths    4/14/2020    83       26      135        0        0     1923    13463     3733
TAB:  US_Tennessee_Shelby Deaths    .            84       26      135        0        0     1470     4412     2602
TAB:  US_Tennessee_Shelby Deaths    4/16/2020    85       32      135        0        0     1532     3127     2038
