TAB:  US_Arizona_Pima Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Arizona_Pima Confirmed 1/23/2020     1        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .             2        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 1/25/2020     3        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .             4        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 1/27/2020     5        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .             6        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 1/29/2020     7        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .             8        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 1/31/2020     9        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            10        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/2/2020     11        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            12        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/4/2020     13        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            14        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/6/2020     15        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            16        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/8/2020     17        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            18        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/10/2020    19        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            20        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/12/2020    21        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            22        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/14/2020    23        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            24        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/16/2020    25        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            26        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/18/2020    27        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            28        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/20/2020    29        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            30        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/22/2020    31        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            32        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/24/2020    33        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            34        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/26/2020    35        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            36        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 2/28/2020    37        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            38        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/1/2020     39        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            40        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/3/2020     41        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            42        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/5/2020     43        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            44        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/7/2020     45        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            46        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/9/2020     47        0     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            48        1     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/11/2020    49        1     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            50        1     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/13/2020    51        1     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            52        2     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/15/2020    53        2     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            54        4     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/17/2020    55        4     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            56        5     3161       58        2       58       58       58
TAB:  US_Arizona_Pima Confirmed 3/19/2020    57        7     3161       58        3       58     7649     7649
TAB:  US_Arizona_Pima Confirmed .            58        8     3161       58        4       58      175      175
TAB:  US_Arizona_Pima Confirmed 3/21/2020    59       12     3161      175        1      175     9284      642
TAB:  US_Arizona_Pima Confirmed .            60       17     3161     6014        1     6014     6014     6014
TAB:  US_Arizona_Pima Confirmed 3/23/2020    61       24     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            62       42     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/25/2020    63       49     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed .            64       75     3161        0        0        0        0        0
TAB:  US_Arizona_Pima Confirmed 3/27/2020    65      102     3161     5079        1     5079     5079     5079
TAB:  US_Arizona_Pima Confirmed .            66      120     3161      408        1      408     7298     2160
TAB:  US_Arizona_Pima Confirmed 3/29/2020    67      153     3161      759        2      525     2627     1342
TAB:  US_Arizona_Pima Confirmed .            68      187     3161      642        1      642     6598     1109
TAB:  US_Arizona_Pima Confirmed 3/31/2020    69      202     3161      525        3      408     5313      875
TAB:  US_Arizona_Pima Confirmed .            70      217     3161      291        3      291     4145      642
TAB:  US_Arizona_Pima Confirmed 4/2/2020     71      237     3161      291        4      291    11035      875
TAB:  US_Arizona_Pima Confirmed .            72      280     3161      408        3      408    20728      992
TAB:  US_Arizona_Pima Confirmed 4/4/2020     73      326     3161      642        5      642    18743     1459
TAB:  US_Arizona_Pima Confirmed .            74      372     3161      759        4      759     7882     1459
TAB:  US_Arizona_Pima Confirmed 4/6/2020     75      415     3161      875        4      875     9867     1693
TAB:  US_Arizona_Pima Confirmed .            76      415     3161      875        6      525    10218     1459
TAB:  US_Arizona_Pima Confirmed 4/8/2020     77      464     3161      846        4      604     5364     1169
TAB:  US_Arizona_Pima Confirmed .            78      512     3161      917        5      825     3217     1251
TAB:  US_Arizona_Pima Confirmed 4/10/2020    79      543     3161      992        8      875     2861     1459
TAB:  US_Arizona_Pima Confirmed .            80      591     3161      992        5      992     2510     1576
TAB:  US_Arizona_Pima Confirmed 4/12/2020    81      622     3161     1072        5      898     2116     1362
TAB:  US_Arizona_Pima Confirmed .            82      668     3161     1086        3     1086     2215     1425
TAB:  US_Arizona_Pima Confirmed 4/14/2020    83      685     3161     1460        3      933     1666     1237
TAB:  US_Arizona_Pima Confirmed .            84      700     3161     1084        3      738     1505     1117
TAB:  US_Arizona_Pima Confirmed 4/16/2020    85      760     3161     1161        3     1113     1478     1232
