TAB:  US_Texas_Dallas Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Texas_Dallas Deaths    1/23/2020     1        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .             2        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    1/25/2020     3        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .             4        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    1/27/2020     5        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .             6        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    1/29/2020     7        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .             8        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    1/31/2020     9        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .            10        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    2/2/2020     11        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .            12        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    2/4/2020     13        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .            14        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    2/6/2020     15        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .            16        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    2/8/2020     17        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .            18        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    2/10/2020    19        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .            20        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    2/12/2020    21        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .            22        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    2/14/2020    23        0      271        0        0        0        0        0
TAB:  US_Texas_Dallas Deaths    .            24        0      271        0        0        0        0        0
