TAB:  US_California_Riverside Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_California_Riverside Confirmed 1/23/2020     1        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .             2        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 1/25/2020     3        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .             4        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 1/27/2020     5        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .             6        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 1/29/2020     7        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .             8        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 1/31/2020     9        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            10        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/2/2020     11        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            12        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/4/2020     13        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            14        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/6/2020     15        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            16        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/8/2020     17        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            18        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/10/2020    19        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            20        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/12/2020    21        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            22        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/14/2020    23        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            24        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/16/2020    25        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            26        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/18/2020    27        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            28        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/20/2020    29        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            30        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/22/2020    31        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            32        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/24/2020    33        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            34        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/26/2020    35        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            36        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 2/28/2020    37        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            38        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/1/2020     39        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            40        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/3/2020     41        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            42        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/5/2020     43        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            44        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/7/2020     45        0     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            46        1     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/9/2020     47        1     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            48        4     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/11/2020    49        6     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            50        8     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/13/2020    51        8     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            52       14     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/15/2020    53       14     9590      201        2      201      201      201
TAB:  US_California_Riverside Confirmed .            54       15     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/17/2020    55       15     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            56       16     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed 3/19/2020    57       22     9590        0        0        0        0        0
TAB:  US_California_Riverside Confirmed .            58       28     9590      177        3      177     6554     1594
TAB:  US_California_Riverside Confirmed 3/21/2020    59       28     9590      177        4      177      531      531
TAB:  US_California_Riverside Confirmed .            60       29     9590      177        8      177      177      177
TAB:  US_California_Riverside Confirmed 3/23/2020    61       46     9590      177        2      177     2657     2657
TAB:  US_California_Riverside Confirmed .            62       57     9590      177        2      177      177      177
TAB:  US_California_Riverside Confirmed 3/25/2020    63       68     9590      177        1      177     5137      531
