TAB:  Nigeria Deaths    Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Nigeria Deaths    1/23/2020     1        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .             2        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    1/25/2020     3        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .             4        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    1/27/2020     5        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .             6        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    1/29/2020     7        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .             8        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    1/31/2020     9        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            10        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/2/2020     11        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            12        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/4/2020     13        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            14        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/6/2020     15        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            16        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/8/2020     17        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            18        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/10/2020    19        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            20        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/12/2020    21        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            22        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/14/2020    23        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            24        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/16/2020    25        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            26        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/18/2020    27        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            28        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/20/2020    29        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            30        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/22/2020    31        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            32        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/24/2020    33        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            34        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/26/2020    35        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            36        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    2/28/2020    37        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            38        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    3/1/2020     39        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            40        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    3/3/2020     41        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            42        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    3/5/2020     43        0      365        0        0        0        0        0
TAB:  Nigeria Deaths    .            44        0      365        0        0        0        0        0
