TAB:  Italy_Marche Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Marche Confirmed 1/23/2020     1        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .             2        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 1/25/2020     3        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .             4        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 1/27/2020     5        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .             6        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 1/29/2020     7        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .             8        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 1/31/2020     9        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            10        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/2/2020     11        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            12        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/4/2020     13        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            14        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/6/2020     15        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            16        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/8/2020     17        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            18        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/10/2020    19        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            20        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/12/2020    21        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            22        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/14/2020    23        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            24        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/16/2020    25        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            26        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/18/2020    27        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            28        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/20/2020    29        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            30        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/22/2020    31        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            32        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/24/2020    33        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            34        0     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/26/2020    35        1     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            36        3     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 2/28/2020    37        6     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            38       11     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 3/1/2020     39       25     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed .            40       35     6747        0        0        0        0        0
TAB:  Italy_Marche Confirmed 3/3/2020     41       61     6747     1297        1     1297     1297     1297
TAB:  Italy_Marche Confirmed .            42       84     6747      560        1      560      844      844
TAB:  Italy_Marche Confirmed 3/5/2020     43      124     6747      780        1      780     1082      965
TAB:  Italy_Marche Confirmed .            44      159     6747      703        1      703     1037      938
TAB:  Italy_Marche Confirmed 3/7/2020     45      207     6747      715        1      715     1026      883
TAB:  Italy_Marche Confirmed .            46      272     6747     1217        2     1176     2015     1299
TAB:  Italy_Marche Confirmed 3/9/2020     47      323     6747     1195        2     1185     1598     1260
TAB:  Italy_Marche Confirmed .            48      394     6747     1269        1     1269     1877     1388
TAB:  Italy_Marche Confirmed 3/11/2020    49      479     6747     1527        2     1434     2582     1971
TAB:  Italy_Marche Confirmed .            50      592     6747     1869        3     1869    11092     4112
TAB:  Italy_Marche Confirmed 3/13/2020    51      725     6747     2617        2     2368    34523     4112
TAB:  Italy_Marche Confirmed .            52      899     6747     3115        1     3115    23555     6356
TAB:  Italy_Marche Confirmed 3/15/2020    53     1133     6747     4362        1     4362    44743     7104
TAB:  Italy_Marche Confirmed .            54     1242     6747     4611        1     4611    33775    10095
TAB:  Italy_Marche Confirmed 3/17/2020    55     1371     6747     4611        2     1869    26795     7104
TAB:  Italy_Marche Confirmed .            56     1568     6747     2661        1     2661    21104     7117
TAB:  Italy_Marche Confirmed 3/19/2020    57     1737     6747     2934        1     2934    12267     6964
TAB:  Italy_Marche Confirmed .            58     1981     6747     4362        2     4362    12089     7602
TAB:  Italy_Marche Confirmed 3/21/2020    59     2153     6747     4611        2     4611    10095     7602
TAB:  Italy_Marche Confirmed .            60     2421     6747     6106        3     5857    19318     8599
TAB:  Italy_Marche Confirmed 3/23/2020    61     2569     6747     8350        3     5608    11341     7353
TAB:  Italy_Marche Confirmed .            62     2736     6747     7168        2     3679     8259     6460
TAB:  Italy_Marche Confirmed 3/25/2020    63     2934     6747     5567        2     4287     7701     6421
TAB:  Italy_Marche Confirmed .            64     3114     6747     7252        3     4706     7252     6108
TAB:  Italy_Marche Confirmed 3/27/2020    65     3196     6747     4275        2     4105     6762     5536
TAB:  Italy_Marche Confirmed .            66     3373     6747     5253        3     4435     6497     5253
TAB:  Italy_Marche Confirmed 3/29/2020    67     3558     6747     4959        2     4892     6361     5627
TAB:  Italy_Marche Confirmed .            68     3684     6747     5247        6     5024     6364     5694
TAB:  Italy_Marche Confirmed 3/31/2020    69     3825     6747     5352        3     5154     9298     5746
TAB:  Italy_Marche Confirmed .            70     3962     6747     5349        3     5051     6952     5685
TAB:  Italy_Marche Confirmed 4/2/2020     71     4098     6747     5462        6     5426     6823     5856
