TAB:  Italy_Sicilia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Italy_Sicilia Confirmed 1/23/2020     1        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .             2        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 1/25/2020     3        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .             4        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 1/27/2020     5        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .             6        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 1/29/2020     7        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .             8        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 1/31/2020     9        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            10        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/2/2020     11        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            12        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/4/2020     13        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            14        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/6/2020     15        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            16        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/8/2020     17        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            18        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/10/2020    19        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            20        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/12/2020    21        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            22        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/14/2020    23        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            24        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/16/2020    25        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            26        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/18/2020    27        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            28        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/20/2020    29        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            30        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/22/2020    31        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            32        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/24/2020    33        0     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            34        3     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/26/2020    35        3     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            36        4     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 2/28/2020    37        4     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            38        4     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 3/1/2020     39        9     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            40        7     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 3/3/2020     41        7     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            42       18     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed 3/5/2020     43       18     3454        0        0        0        0        0
TAB:  Italy_Sicilia Confirmed .            44       24     3454       63        1       63       63       63
TAB:  Italy_Sicilia Confirmed 3/7/2020     45       35     3454       63        2       63      446      446
TAB:  Italy_Sicilia Confirmed .            46       53     3454      319        1      319     4529     2105
TAB:  Italy_Sicilia Confirmed 3/9/2020     47       54     3454      191        1      191     4657      829
