Country_Region_Safe                                                                                 Smoothing  Classification_Code  nCases   Start_Cases  Peak_Cases  nDeaths  Start_Deaths  Peak_Deaths  Deaths_per_Case  
China_Hubei_SMO5                                                                                    SMO5       cCdD                 68135    1            16          4512     1             24           6.62%            
China_SMO5                                                                                          SMO5       cCdD                 84195    1            15          4638     1             24           5.51%            
China_non_Hubei_SMO5                                                                                SMO5       cCdD                 16060    1            12          126      1             22           0.78%            
Diamond_Princess_SMO5                                                                               SMO5       cCdD                 712      16           25          13       28            34           1.83%            
Japan_SMO5                                                                                          SMO5       cCdD                 17060    24           83          920      29            90           5.39%            
Korea_South_SMO5                                                                                    SMO5       cCdD                 11852    24           40          274      27            64           2.31%            
Italy_Lombardia_SMO5                                                                                SMO5       cCdD                 90389    29           61          16302    28            65           18.04%           
Italy_SMO5                                                                                          SMO5       cCdD                 235278   29           62          33964    28            67           14.44%           
Italy_Veneto_SMO5                                                                                   SMO5       cCdD                 19187    33           63          1955     34            69           10.19%           
France_SMO5                                                                                         SMO5       cCdD                 187458   34           69          29153    30            76           15.55%           
Germany_SMO5                                                                                        SMO5       cCdD                 186109   35           68          8695     45            87           4.67%            
Spain_SMO5                                                                                          SMO5       cCdD                 241717   36           68          27136    38            70           11.23%           
US_SMO5                                                                                             SMO5       cCdD                 1960897  38           67          110990   35            86           5.66%            
United_Kingdom_SMO5                                                                                 SMO5       cCdD                 287399   38           84          40597    42            81           14.13%           
Italy_Marche_SMO5                                                                                   SMO5       cCdD                 6747     39           59          991      38            67           14.69%           
Italy_Piemonte_SMO5                                                                                 SMO5       cCdD                 30869    39           83          3954     40            83           12.81%           
Switzerland_SMO5                                                                                    SMO5       cCdD                 30972    39           63          1923     43            74           6.21%            
Netherlands_SMO5                                                                                    SMO5       cCdD                 47739    40           79          6016     43            74           12.60%           
Norway_SMO5                                                                                         SMO5       cCdD                 8561     40           65          239      50            77           2.79%            
Belgium_SMO5                                                                                        SMO5       cCdD                 59348    41           78          9606     47            82           16.19%           
Italy_Toscana_SMO5                                                                                  SMO5       cCdD                 10144    41           67          1074     46            80           10.59%           
Malaysia_SMO5                                                                                       SMO5       cCdD                 8329     41           69          117      53            67           1.40%            
Australia_SMO5                                                                                      SMO5       cCdD                 7267     42           65          102      40            76           1.40%            
Austria_SMO5                                                                                        SMO5       cCdD                 16968    42           64          672      50            77           3.96%            
Denmark_SMO5                                                                                        SMO5       cCdD                 11962    43           74          593      50            74           4.96%            
Israel_SMO5                                                                                         SMO5       cCdD                 18032    43           70          298      58            82           1.65%            
Italy_Campania_SMO5                                                                                 SMO5       cCdD                 4828     43           70          426      47            67           8.82%            
Italy_Lazio_SMO5                                                                                    SMO5       cCdD                 7828     43           65          763      42            100          9.75%            
Italy_Liguria_SMO5                                                                                  SMO5       cCdD                 9826     43           64          1505     40            66           15.32%           
US_Washington_King_SMO5                                                                             SMO5       cCdD                 8496     43           75          579      36            75           6.81%            
Italy_Friuli_Venezia_Giulia_SMO5                                                                    SMO5       cCdD                 3284     44           63          340      44            69           10.35%           
Greece_SMO5                                                                                         SMO5       cCdD                 3049     45           68          182      49            70           5.97%            
Thailand_SMO5                                                                                       SMO5       cCdD                 3119     45           66          58       55            75           1.86%            
US_New_York_Westchester_SMO5                                                                        SMO5       cCdD                 34000    45           66          1395     61            79           4.10%            
Czechia_SMO5                                                                                        SMO5       cCdD                 9697     46           69          328      58            78           3.38%            
Italy_P.A._Trento_P_A_Trento_SMO5                                                                   SMO5       cCdD                 4436     46           75          464      48            67           10.46%           
Italy_Puglia_SMO5                                                                                   SMO5       cCdD                 4512     46           67          525      42            73           11.64%           
Italy_Sicilia_SMO5                                                                                  SMO5       cCdD                 3452     46           64          278      50            68           8.05%            
US_New_York_NYC_SMO5                                                                                SMO5       cCdD                 207353   46           79          21877    47            77           10.55%           
Finland_SMO5                                                                                        SMO5       cCdD                 7001     47           77          323      59            90           4.61%            
Portugal_SMO5                                                                                       SMO5       cCdD                 34885    47           74          1485     52            81           4.26%            
US_Washington_Snohomish_SMO5                                                                        SMO5       cCdD                 3039     47           67          153      44            73           5.03%            
Ireland_SMO5                                                                                        SMO5       cCdD                 25207    48           83          1683     50            88           6.68%            
Italy_Abruzzo_SMO5                                                                                  SMO5       cCdD                 3265     48           64          418      48            69           12.80%           
Romania_SMO5                                                                                        SMO5       cCdD                 20604    48           82          1339     56            101          6.50%            
Ecuador_SMO5                                                                                        SMO5       cCdD                 43378    49           81          3642     51            104          8.40%            
US_New_York_Nassau_SMO5                                                                             SMO5       cCdD                 40947    49           76          2145     54            79           5.24%            
Luxembourg_SMO5                                                                                     SMO5       cCdD                 4040     50           64          110      52            77           2.72%            
US_Louisiana_Orleans_SMO5                                                                           SMO5       cCdD                 7237     51           72          512      50            73           7.07%            
US_Massachusetts_Middlesex_SMO5                                                                     SMO5       cCdD                 22812    51           91          1711     60            97           7.50%            
US_New_York_Suffolk_SMO5                                                                            SMO5       cCdD                 40377    51           75          1935     52            79           4.79%            
