TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      739503.00000       13.51373
TAB:  Brazil Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Brazil Confirmed 1/23/2020     1        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .             2        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 1/25/2020     3        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .             4        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 1/27/2020     5        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .             6        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 1/29/2020     7        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .             8        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 1/31/2020     9        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            10        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/2/2020     11        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            12        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/4/2020     13        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            14        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/6/2020     15        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            16        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/8/2020     17        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            18        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/10/2020    19        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            20        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/12/2020    21        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            22        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/14/2020    23        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            24        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/16/2020    25        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            26        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/18/2020    27        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            28        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/20/2020    29        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            30        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/22/2020    31        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            32        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/24/2020    33        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            34        0   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/26/2020    35        1   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            36        1   739503        0        0        0        0        0
TAB:  Brazil Confirmed 2/28/2020    37        1   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            38        2   739503        0        0        0        0        0
TAB:  Brazil Confirmed 3/1/2020     39        2   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            40        2   739503        0        0        0        0        0
TAB:  Brazil Confirmed 3/3/2020     41        2   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            42        4   739503        0        0        0        0        0
TAB:  Brazil Confirmed 3/5/2020     43        4   739503    13660        1    13660    13660    13660
TAB:  Brazil Confirmed .            44       13   739503        0        0        0        0        0
TAB:  Brazil Confirmed 3/7/2020     45       13   739503        0        0        0        0        0
TAB:  Brazil Confirmed .            46       20   739503    13660        1    13660    13660    13660
TAB:  Brazil Confirmed 3/9/2020     47       25   739503    13660        3    13660    13660    13660
TAB:  Brazil Confirmed .            48       31   739503    13660        5    13660    13660    13660
TAB:  Brazil Confirmed 3/11/2020    49       38   739503    13660        7    13660    13660    13660
TAB:  Brazil Confirmed .            50       52   739503    13660        7    13660    13660    13660
