TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       20749.00000        9.94025
TAB:  Romania Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  Romania Confirmed 1/23/2020     1        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .             2        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 1/25/2020     3        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .             4        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 1/27/2020     5        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .             6        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 1/29/2020     7        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .             8        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 1/31/2020     9        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            10        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/2/2020     11        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            12        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/4/2020     13        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            14        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/6/2020     15        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            16        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/8/2020     17        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            18        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/10/2020    19        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            20        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/12/2020    21        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            22        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/14/2020    23        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            24        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/16/2020    25        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            26        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/18/2020    27        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            28        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/20/2020    29        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            30        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/22/2020    31        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            32        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/24/2020    33        0    20749        0        0        0        0        0
TAB:  Romania Confirmed .            34        0    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/26/2020    35        1    20749        0        0        0        0        0
TAB:  Romania Confirmed .            36        1    20749        0        0        0        0        0
TAB:  Romania Confirmed 2/28/2020    37        3    20749        0        0        0        0        0
TAB:  Romania Confirmed .            38        3    20749        0        0        0        0        0
TAB:  Romania Confirmed 3/1/2020     39        3    20749        0        0        0        0        0
TAB:  Romania Confirmed .            40        3    20749        0        0        0        0        0
TAB:  Romania Confirmed 3/3/2020     41        3    20749        0        0        0        0        0
TAB:  Romania Confirmed .            42        4    20749        0        0        0        0        0
TAB:  Romania Confirmed 3/5/2020     43        6    20749        0        0        0        0        0
TAB:  Romania Confirmed .            44        9    20749      383        2      383      383      383
TAB:  Romania Confirmed 3/7/2020     45        9    20749      383        2      383      383      383
TAB:  Romania Confirmed .            46       15    20749    13415        1    13415    13415    13415
TAB:  Romania Confirmed 3/9/2020     47       15    20749      383        2      383    18781     3449
TAB:  Romania Confirmed .            48       25    20749        0        0        0        0        0
TAB:  Romania Confirmed 3/11/2020    49       45    20749        0        0        0        0        0
TAB:  Romania Confirmed .            50       49    20749        0        0        0        0        0
TAB:  Romania Confirmed 3/13/2020    51       89    20749        0        0        0        0        0
TAB:  Romania Confirmed .            52      123    20749    15714        1    15714    15714    15714
TAB:  Romania Confirmed 3/15/2020    53      131    20749      383        2      383    15714    15714
TAB:  Romania Confirmed .            54      158    20749      383        4      383     3449     3449
TAB:  Romania Confirmed 3/17/2020    55      184    20749      383        5      383     4982     1149
TAB:  Romania Confirmed .            56      260    20749     1149        5     1149    66308     6515
TAB:  Romania Confirmed 3/19/2020    57      277    20749     1149        5      383    28746     2683
TAB:  Romania Confirmed .            58      308    20749      383        4      383    17247     2683
TAB:  Romania Confirmed 3/21/2020    59      367    20749     1149        8      383    24913     4216
TAB:  Romania Confirmed .            60      433    20749     1149        8     1149    50210     7282
TAB:  Romania Confirmed 3/23/2020    61      576    20749     2683        3     1916    45611     4982
TAB:  Romania Confirmed .            62      794    20749     8815        2     8049   137600    18014
TAB:  Romania Confirmed 3/25/2020    63      906    20749    13415        2    13415    63242    27213
TAB:  Romania Confirmed .            64     1029    20749    16481        2     1916   150631    31046
TAB:  Romania Confirmed 3/27/2020    65     1292    20749    45611        2     5749    92372    40245
TAB:  Romania Confirmed .            66     1452    20749     4982        1     4982   109236    39478
TAB:  Romania Confirmed 3/29/2020    67     1815    20749    57876        2    14181   126868    59409
TAB:  Romania Confirmed .            68     2109    20749    21847        1    21847   106170    80873
TAB:  Romania Confirmed 3/31/2020    69     2245    20749    11881        2     4216   136067    75507
TAB:  Romania Confirmed .            70     2460    20749     3449        2     3449   113836    64009
TAB:  Romania Confirmed 4/2/2020     71     2738    20749     7282        3     4216   139899    54810
TAB:  Romania Confirmed .            72     3183    20749     9582        2     8049   124568    52510
TAB:  Romania Confirmed 4/4/2020     73     3613    20749    12648        2    12648   123035    53276
TAB:  Romania Confirmed .            74     3864    20749    14181        2    12648   146032    50210
TAB:  Romania Confirmed 4/6/2020     75     4057    20749    11115        2     4982   116902    41778
TAB:  Romania Confirmed .            76     4417    20749    11115        3     5749   132234    37945
TAB:  Romania Confirmed 4/8/2020     77     4761    20749    11115        4     7282   124568    35645
TAB:  Romania Confirmed .            78     5202    20749    11881        3     9582   128401    31046
TAB:  Romania Confirmed 4/10/2020    79     5467    20749    11881        3    10348   101571    27979
TAB:  Romania Confirmed .            80     5990    20749    14181        5    13415   123035    28746
TAB:  Romania Confirmed 4/12/2020    81     6300    20749    14948        5    13415    72441    25680
