TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6595.00000        8.79407
TAB:  US_New_York_Erie Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Erie Confirmed 1/23/2020     1        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .             2        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 1/25/2020     3        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .             4        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 1/27/2020     5        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .             6        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 1/29/2020     7        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .             8        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 1/31/2020     9        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            10        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/2/2020     11        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            12        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/4/2020     13        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            14        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/6/2020     15        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            16        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/8/2020     17        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            18        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/10/2020    19        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            20        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/12/2020    21        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            22        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/14/2020    23        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            24        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/16/2020    25        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            26        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/18/2020    27        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            28        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/20/2020    29        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            30        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/22/2020    31        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            32        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/24/2020    33        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            34        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/26/2020    35        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            36        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 2/28/2020    37        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            38        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 3/1/2020     39        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            40        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 3/3/2020     41        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            42        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 3/5/2020     43        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed .            44        0     6595        0        0        0        0        0
TAB:  US_New_York_Erie Confirmed 3/7/2020     45        0     6595        0        0        0        0        0
